subgrupo,fecha,semana_registro,turno,linea,sku,formato_L,hora,n_obs,volumen_mL
11,2026-07-21,1,A (06-14),L1,NEC-D05,0.5,10:00,3,502.05
11,2026-07-21,1,A (06-14),L1,NEC-D05,0.5,10:00,4,501.78
11,2026-07-21,1,A (06-14),L1,NEC-D05,0.5,10:00,5,504.65
12,2026-07-21,1,A (06-14),L1,NEC-D05,0.5,12:00,1,499.44
12,2026-07-21,1,A (06-14),L1,NEC-D05,0.5,12:00,2,499.62
12,2026-07-21,1,A (06-14),L1,NEC-D05,0.5,12:00,3,500.55
12,2026-07-21,1,A (06-14),L1,NEC-D05,0.5,12:00,4,502.48
12,2026-07-21,1,A (06-14),L1,NEC-D05,0.5,12:00,5,500.91
13,2026-07-21,1,B (14-22),L1,CIT-L05,0.5,14:00,1,500.86
13,2026-07-21,1,B (14-22),L1,CIT-L05,0.5,14:00,2,504.57
13,2026-07-21,1,B (14-22),L1,CIT-L05,0.5,14:00,3,500.54
13,2026-07-21,1,B (14-22),L1,CIT-L05,0.5,14:00,4,501.83
13,2026-07-21,1,B (14-22),L1,CIT-L05,0.5,14:00,5,503.21
14,2026-07-21,1,B (14-22),L1,CIT-L05,0.5,16:00,1,502.1
14,2026-07-21,1,B (14-22),L1,CIT-L05,0.5,16:00,2,504.35
14,2026-07-21,1,B (14-22),L1,CIT-L05,0.5,16:00,3,505.01
14,2026-07-21,1,B (14-22),L1,CIT-L05,0.5,16:00,4,499.58
14,2026-07-21,1,B (14-22),L1,CIT-L05,0.5,16:00,5,503.46
15,2026-07-21,1,B (14-22),L1,CIT-L05,0.5,18:00,1,506.09
15,2026-07-21,1,B (14-22),L1,CIT-L05,0.5,18:00,2,506.25
15,2026-07-21,1,B (14-22),L1,CIT-L05,0.5,18:00,3,500.35
15,2026-07-21,1,B (14-22),L1,CIT-L05,0.5,18:00,4,500.27
15,2026-07-21,1,B (14-22),L1,CIT-L05,0.5,18:00,5,501.99
16,2026-07-21,1,B (14-22),L1,CIT-L05,0.5,20:00,1,500.4
16,2026-07-21,1,B (14-22),L1,CIT-L05,0.5,20:00,2,503.93
16,2026-07-21,1,B (14-22),L1,CIT-L05,0.5,20:00,3,501.85
16,2026-07-21,1,B (14-22),L1,CIT-L05,0.5,20:00,4,505.47
16,2026-07-21,1,B (14-22),L1,CIT-L05,0.5,20:00,5,505.65
17,2026-07-22,1,A (06-14),L1,CIT-L05,0.5,06:00,1,500.21
17,2026-07-22,1,A (06-14),L1,CIT-L05,0.5,06:00,2,499.83
17,2026-07-22,1,A (06-14),L1,CIT-L05,0.5,06:00,3,504.97
17,2026-07-22,1,A (06-14),L1,CIT-L05,0.5,06:00,4,501.54
17,2026-07-22,1,A (06-14),L1,CIT-L05,0.5,06:00,5,502.03
18,2026-07-22,1,A (06-14),L1,CIT-L05,0.5,08:00,1,504.76
18,2026-07-22,1,A (06-14),L1,CIT-L05,0.5,08:00,2,505.63
18,2026-07-22,1,A (06-14),L1,CIT-L05,0.5,08:00,3,505.13
18,2026-07-22,1,A (06-14),L1,CIT-L05,0.5,08:00,4,506.14
18,2026-07-22,1,A (06-14),L1,CIT-L05,0.5,08:00,5,501.3
19,2026-07-22,1,A (06-14),L1,CIT-L05,0.5,10:00,1,503.87
19,2026-07-22,1,A (06-14),L1,CIT-L05,0.5,10:00,2,500.06
19,2026-07-22,1,A (06-14),L1,CIT-L05,0.5,10:00,3,504.09
19,2026-07-22,1,A (06-14),L1,CIT-L05,0.5,10:00,4,503.32
19,2026-07-22,1,A (06-14),L1,CIT-L05,0.5,10:00,5,501.13
20,2026-07-22,1,A (06-14),L1,CIT-L05,0.5,12:00,1,503.1
20,2026-07-22,1,A (06-14),L1,CIT-L05,0.5,12:00,2,501.28
20,2026-07-22,1,A (06-14),L1,CIT-L05,0.5,12:00,3,504.77
20,2026-07-22,1,A (06-14),L1,CIT-L05,0.5,12:00,4,498.52
20,2026-07-22,1,A (06-14),L1,CIT-L05,0.5,12:00,5,499.46
21,2026-07-22,1,B (14-22),L1,NEC-D05,0.5,14:00,1,502.38
21,2026-07-22,1,B (14-22),L1,NEC-D05,0.5,14:00,2,502.52
21,2026-07-22,1,B (14-22),L1,NEC-D05,0.5,14:00,3,503.2
21,2026-07-22,1,B (14-22),L1,NEC-D05,0.5,14:00,4,502.9
21,2026-07-22,1,B (14-22),L1,NEC-D05,0.5,14:00,5,501.45
22,2026-07-22,1,B (14-22),L1,NEC-D05,0.5,16:00,1,503.16
22,2026-07-22,1,B (14-22),L1,NEC-D05,0.5,16:00,2,500.93
22,2026-07-22,1,B (14-22),L1,NEC-D05,0.5,16:00,3,504.16
22,2026-07-22,1,B (14-22),L1,NEC-D05,0.5,16:00,4,501.88
22,2026-07-22,1,B (14-22),L1,NEC-D05,0.5,16:00,5,501.92
23,2026-07-22,1,B (14-22),L1,NEC-D05,0.5,18:00,1,501.05
23,2026-07-22,1,B (14-22),L1,NEC-D05,0.5,18:00,2,497.38
23,2026-07-22,1,B (14-22),L1,NEC-D05,0.5,18:00,3,503.64
23,2026-07-22,1,B (14-22),L1,NEC-D05,0.5,18:00,4,499.94
23,2026-07-22,1,B (14-22),L1,NEC-D05,0.5,18:00,5,499.26
24,2026-07-22,1,B (14-22),L1,NEC-D05,0.5,20:00,1,502.54
24,2026-07-22,1,B (14-22),L1,NEC-D05,0.5,20:00,2,502.99
24,2026-07-22,1,B (14-22),L1,NEC-D05,0.5,20:00,3,501.19
24,2026-07-22,1,B (14-22),L1,NEC-D05,0.5,20:00,4,504.37
24,2026-07-22,1,B (14-22),L1,NEC-D05,0.5,20:00,5,502.58
25,2026-07-20,1,A (06-14),L2,CIT-L30,3.0,06:00,1,3019.24
25,2026-07-20,1,A (06-14),L2,CIT-L30,3.0,06:00,2,2996.61
25,2026-07-20,1,A (06-14),L2,CIT-L30,3.0,06:00,3,3001.02
25,2026-07-20,1,A (06-14),L2,CIT-L30,3.0,06:00,4,3002.73
25,2026-07-20,1,A (06-14),L2,CIT-L30,3.0,06:00,5,3018.6
26,2026-07-20,1,A (06-14),L2,CIT-L30,3.0,08:00,1,3005.61
26,2026-07-20,1,A (06-14),L2,CIT-L30,3.0,08:00,2,3001.03
26,2026-07-20,1,A (06-14),L2,CIT-L30,3.0,08:00,3,3015.2
26,2026-07-20,1,A (06-14),L2,CIT-L30,3.0,08:00,4,2999.05
26,2026-07-20,1,A (06-14),L2,CIT-L30,3.0,08:00,5,3013.24
27,2026-07-20,1,A (06-14),L2,CIT-L30,3.0,10:00,1,3009.43
27,2026-07-20,1,A (06-14),L2,CIT-L30,3.0,10:00,2,3002.25
27,2026-07-20,1,A (06-14),L2,CIT-L30,3.0,10:00,3,2996.46
27,2026-07-20,1,A (06-14),L2,CIT-L30,3.0,10:00,4,3012.57
27,2026-07-20,1,A (06-14),L2,CIT-L30,3.0,10:00,5,3006.09
28,2026-07-20,1,A (06-14),L2,CIT-L30,3.0,12:00,1,3025.29
28,2026-07-20,1,A (06-14),L2,CIT-L30,3.0,12:00,2,3007.58
28,2026-07-20,1,A (06-14),L2,CIT-L30,3.0,12:00,3,2995.91
28,2026-07-20,1,A (06-14),L2,CIT-L30,3.0,12:00,4,3001.01
28,2026-07-20,1,A (06-14),L2,CIT-L30,3.0,12:00,5,3006.35
29,2026-07-20,1,B (14-22),L2,CIT-L30,3.0,14:00,1,3010.51
29,2026-07-20,1,B (14-22),L2,CIT-L30,3.0,14:00,2,3006.42
29,2026-07-20,1,B (14-22),L2,CIT-L30,3.0,14:00,3,3012.91
29,2026-07-20,1,B (14-22),L2,CIT-L30,3.0,14:00,4,2998.99
29,2026-07-20,1,B (14-22),L2,CIT-L30,3.0,14:00,5,3010.68
30,2026-07-20,1,B (14-22),L2,CIT-L30,3.0,16:00,1,3008.71
30,2026-07-20,1,B (14-22),L2,CIT-L30,3.0,16:00,2,3002.43
30,2026-07-20,1,B (14-22),L2,CIT-L30,3.0,16:00,3,3009.31
30,2026-07-20,1,B (14-22),L2,CIT-L30,3.0,16:00,4,3000.57
30,2026-07-20,1,B (14-22),L2,CIT-L30,3.0,16:00,5,3013.7
31,2026-07-20,1,B (14-22),L2,CIT-L30,3.0,18:00,1,3007.91
31,2026-07-20,1,B (14-22),L2,CIT-L30,3.0,18:00,2,3001.86
31,2026-07-20,1,B (14-22),L2,CIT-L30,3.0,18:00,3,3005.07
31,2026-07-20,1,B (14-22),L2,CIT-L30,3.0,18:00,4,3013.59
31,2026-07-20,1,B (14-22),L2,CIT-L30,3.0,18:00,5,3013.19
32,2026-07-20,1,B (14-22),L2,CIT-L30,3.0,20:00,1,2991.13
32,2026-07-20,1,B (14-22),L2,CIT-L30,3.0,20:00,2,3007.27
32,2026-07-20,1,B (14-22),L2,CIT-L30,3.0,20:00,3,3004.67
32,2026-07-20,1,B (14-22),L2,CIT-L30,3.0,20:00,4,3012.83
32,2026-07-20,1,B (14-22),L2,CIT-L30,3.0,20:00,5,3008.03
33,2026-07-20,1,C (22-06),L2,NEC-D15,1.5,22:00,1,1499.99
33,2026-07-20,1,C (22-06),L2,NEC-D15,1.5,22:00,2,1512.04
33,2026-07-20,1,C (22-06),L2,NEC-D15,1.5,22:00,3,1502.77
33,2026-07-20,1,C (22-06),L2,NEC-D15,1.5,22:00,4,1519.68
33,2026-07-20,1,C (22-06),L2,NEC-D15,1.5,22:00,5,1493.73
34,2026-07-20,1,C (22-06),L2,NEC-D15,1.5,00:00,1,1514.96
34,2026-07-20,1,C (22-06),L2,NEC-D15,1.5,00:00,2,1505.68
34,2026-07-20,1,C (22-06),L2,NEC-D15,1.5,00:00,3,1513.35
34,2026-07-20,1,C (22-06),L2,NEC-D15,1.5,00:00,4,1513.5
34,2026-07-20,1,C (22-06),L2,NEC-D15,1.5,00:00,5,1505.48
35,2026-07-20,1,C (22-06),L2,NEC-D15,1.5,02:00,1,1502.17
35,2026-07-20,1,C (22-06),L2,NEC-D15,1.5,02:00,2,1503.64
35,2026-07-20,1,C (22-06),L2,NEC-D15,1.5,02:00,3,1502.5
35,2026-07-20,1,C (22-06),L2,NEC-D15,1.5,02:00,4,1516.08
35,2026-07-20,1,C (22-06),L2,NEC-D15,1.5,02:00,5,1502.52
36,2026-07-20,1,C (22-06),L2,NEC-D15,1.5,04:00,1,1517.02
36,2026-07-20,1,C (22-06),L2,NEC-D15,1.5,04:00,2,1499.64
36,2026-07-20,1,C (22-06),L2,NEC-D15,1.5,04:00,3,1508.54
36,2026-07-20,1,C (22-06),L2,NEC-D15,1.5,04:00,4,1503.25
36,2026-07-20,1,C (22-06),L2,NEC-D15,1.5,04:00,5,1508.32
37,2026-07-21,1,A (06-14),L2,FUN-B15,1.5,06:00,1,1499.2
37,2026-07-21,1,A (06-14),L2,FUN-B15,1.5,06:00,2,1508.86
37,2026-07-21,1,A (06-14),L2,FUN-B15,1.5,06:00,3,1511.23
37,2026-07-21,1,A (06-14),L2,FUN-B15,1.5,06:00,4,1504.72
37,2026-07-21,1,A (06-14),L2,FUN-B15,1.5,06:00,5,1504.74
38,2026-07-21,1,A (06-14),L2,FUN-B15,1.5,08:00,1,1504.9
38,2026-07-21,1,A (06-14),L2,FUN-B15,1.5,08:00,2,1503.74
38,2026-07-21,1,A (06-14),L2,FUN-B15,1.5,08:00,3,1498.45
38,2026-07-21,1,A (06-14),L2,FUN-B15,1.5,08:00,4,1505.69
38,2026-07-21,1,A (06-14),L2,FUN-B15,1.5,08:00,5,1494.63
39,2026-07-21,1,A (06-14),L2,FUN-B15,1.5,10:00,1,1504.14
39,2026-07-21,1,A (06-14),L2,FUN-B15,1.5,10:00,2,1502.87
39,2026-07-21,1,A (06-14),L2,FUN-B15,1.5,10:00,3,1500.21
39,2026-07-21,1,A (06-14),L2,FUN-B15,1.5,10:00,4,1502.75
39,2026-07-21,1,A (06-14),L2,FUN-B15,1.5,10:00,5,1507.21
40,2026-07-21,1,A (06-14),L2,FUN-B15,1.5,12:00,1,1501.25
40,2026-07-21,1,A (06-14),L2,FUN-B15,1.5,12:00,2,1501.26
40,2026-07-21,1,A (06-14),L2,FUN-B15,1.5,12:00,3,1500.66
40,2026-07-21,1,A (06-14),L2,FUN-B15,1.5,12:00,4,1503.73
40,2026-07-21,1,A (06-14),L2,FUN-B15,1.5,12:00,5,1498.92
41,2026-07-21,1,B (14-22),L2,CIT-L30,3.0,14:00,1,3012.32
41,2026-07-21,1,B (14-22),L2,CIT-L30,3.0,14:00,2,3008.02
41,2026-07-21,1,B (14-22),L2,CIT-L30,3.0,14:00,3,3005.73
41,2026-07-21,1,B (14-22),L2,CIT-L30,3.0,14:00,4,3005.31
41,2026-07-21,1,B (14-22),L2,CIT-L30,3.0,14:00,5,3014.28
42,2026-07-21,1,B (14-22),L2,CIT-L30,3.0,16:00,1,3015.16
42,2026-07-21,1,B (14-22),L2,CIT-L30,3.0,16:00,2,3007.85
42,2026-07-21,1,B (14-22),L2,CIT-L30,3.0,16:00,3,3014.63
42,2026-07-21,1,B (14-22),L2,CIT-L30,3.0,16:00,4,3009.4
42,2026-07-21,1,B (14-22),L2,CIT-L30,3.0,16:00,5,3009.3
43,2026-07-21,1,B (14-22),L2,CIT-L30,3.0,18:00,1,3005.59
43,2026-07-21,1,B (14-22),L2,CIT-L30,3.0,18:00,2,2997.93
43,2026-07-21,1,B (14-22),L2,CIT-L30,3.0,18:00,3,3004.98
43,2026-07-21,1,B (14-22),L2,CIT-L30,3.0,18:00,4,2999.68
43,2026-07-21,1,B (14-22),L2,CIT-L30,3.0,18:00,5,3016.97
44,2026-07-21,1,B (14-22),L2,CIT-L30,3.0,20:00,1,3004.07
44,2026-07-21,1,B (14-22),L2,CIT-L30,3.0,20:00,2,3007.13
44,2026-07-21,1,B (14-22),L2,CIT-L30,3.0,20:00,3,3003.58
44,2026-07-21,1,B (14-22),L2,CIT-L30,3.0,20:00,4,3003.57
44,2026-07-21,1,B (14-22),L2,CIT-L30,3.0,20:00,5,3011.91
45,2026-07-21,1,C (22-06),L2,NEC-D15,1.5,22:00,1,1502.56
45,2026-07-21,1,C (22-06),L2,NEC-D15,1.5,22:00,2,1499.93
45,2026-07-21,1,C (22-06),L2,NEC-D15,1.5,22:00,3,1504.54
45,2026-07-21,1,C (22-06),L2,NEC-D15,1.5,22:00,4,1506.61
45,2026-07-21,1,C (22-06),L2,NEC-D15,1.5,22:00,5,1502.77
46,2026-07-21,1,C (22-06),L2,NEC-D15,1.5,00:00,1,1507.06
46,2026-07-21,1,C (22-06),L2,NEC-D15,1.5,00:00,2,1509.1
46,2026-07-21,1,C (22-06),L2,NEC-D15,1.5,00:00,3,1498.91
46,2026-07-21,1,C (22-06),L2,NEC-D15,1.5,00:00,4,1506.94
46,2026-07-21,1,C (22-06),L2,NEC-D15,1.5,00:00,5,1504.12
47,2026-07-21,1,C (22-06),L2,NEC-D15,1.5,02:00,1,1506.95
47,2026-07-21,1,C (22-06),L2,NEC-D15,1.5,02:00,2,1500.35
47,2026-07-21,1,C (22-06),L2,NEC-D15,1.5,02:00,3,1515.08
47,2026-07-21,1,C (22-06),L2,NEC-D15,1.5,02:00,4,1500.01
47,2026-07-21,1,C (22-06),L2,NEC-D15,1.5,02:00,5,1509.91
48,2026-07-21,1,C (22-06),L2,NEC-D15,1.5,04:00,1,1509.15
48,2026-07-21,1,C (22-06),L2,NEC-D15,1.5,04:00,2,1505.75
48,2026-07-21,1,C (22-06),L2,NEC-D15,1.5,04:00,3,1506.03
48,2026-07-21,1,C (22-06),L2,NEC-D15,1.5,04:00,4,1508.38
48,2026-07-21,1,C (22-06),L2,NEC-D15,1.5,04:00,5,1503.0
49,2026-07-22,1,A (06-14),L2,FUN-B30,3.0,06:00,1,3008.78
49,2026-07-22,1,A (06-14),L2,FUN-B30,3.0,06:00,2,3018.24
49,2026-07-22,1,A (06-14),L2,FUN-B30,3.0,06:00,3,3017.38
49,2026-07-22,1,A (06-14),L2,FUN-B30,3.0,06:00,4,3013.03
49,2026-07-22,1,A (06-14),L2,FUN-B30,3.0,06:00,5,3020.95
50,2026-07-22,1,A (06-14),L2,FUN-B30,3.0,08:00,1,3012.16
50,2026-07-22,1,A (06-14),L2,FUN-B30,3.0,08:00,2,3014.77
50,2026-07-22,1,A (06-14),L2,FUN-B30,3.0,08:00,3,3016.09
50,2026-07-22,1,A (06-14),L2,FUN-B30,3.0,08:00,4,3005.93
50,2026-07-22,1,A (06-14),L2,FUN-B30,3.0,08:00,5,3002.38
51,2026-07-22,1,A (06-14),L2,FUN-B30,3.0,10:00,1,3017.06
51,2026-07-22,1,A (06-14),L2,FUN-B30,3.0,10:00,2,3014.31
51,2026-07-22,1,A (06-14),L2,FUN-B30,3.0,10:00,3,3008.24
51,2026-07-22,1,A (06-14),L2,FUN-B30,3.0,10:00,4,2995.74
51,2026-07-22,1,A (06-14),L2,FUN-B30,3.0,10:00,5,3017.37
52,2026-07-22,1,A (06-14),L2,FUN-B30,3.0,12:00,1,3014.14
52,2026-07-22,1,A (06-14),L2,FUN-B30,3.0,12:00,2,3016.1
52,2026-07-22,1,A (06-14),L2,FUN-B30,3.0,12:00,3,3007.02
52,2026-07-22,1,A (06-14),L2,FUN-B30,3.0,12:00,4,2989.7
52,2026-07-22,1,A (06-14),L2,FUN-B30,3.0,12:00,5,3008.5
53,2026-07-22,1,B (14-22),L2,FUN-B30,3.0,14:00,1,3011.47
53,2026-07-22,1,B (14-22),L2,FUN-B30,3.0,14:00,2,3016.96
53,2026-07-22,1,B (14-22),L2,FUN-B30,3.0,14:00,3,3010.81
53,2026-07-22,1,B (14-22),L2,FUN-B30,3.0,14:00,4,3016.84
53,2026-07-22,1,B (14-22),L2,FUN-B30,3.0,14:00,5,3013.7
54,2026-07-22,1,B (14-22),L2,FUN-B30,3.0,16:00,1,3009.19
54,2026-07-22,1,B (14-22),L2,FUN-B30,3.0,16:00,2,3011.74
54,2026-07-22,1,B (14-22),L2,FUN-B30,3.0,16:00,3,3018.53
54,2026-07-22,1,B (14-22),L2,FUN-B30,3.0,16:00,4,3016.38
54,2026-07-22,1,B (14-22),L2,FUN-B30,3.0,16:00,5,3015.91
55,2026-07-22,1,B (14-22),L2,FUN-B30,3.0,18:00,1,3007.7
55,2026-07-22,1,B (14-22),L2,FUN-B30,3.0,18:00,2,2997.04
55,2026-07-22,1,B (14-22),L2,FUN-B30,3.0,18:00,3,3005.89
55,2026-07-22,1,B (14-22),L2,FUN-B30,3.0,18:00,4,2998.49
55,2026-07-22,1,B (14-22),L2,FUN-B30,3.0,18:00,5,3019.2
56,2026-07-22,1,B (14-22),L2,FUN-B30,3.0,20:00,1,3013.17
56,2026-07-22,1,B (14-22),L2,FUN-B30,3.0,20:00,2,2999.78
56,2026-07-22,1,B (14-22),L2,FUN-B30,3.0,20:00,3,3009.36
56,2026-07-22,1,B (14-22),L2,FUN-B30,3.0,20:00,4,3005.78
56,2026-07-22,1,B (14-22),L2,FUN-B30,3.0,20:00,5,3024.75
57,2026-07-22,1,C (22-06),L2,FUN-B30,3.0,22:00,1,3026.41
57,2026-07-22,1,C (22-06),L2,FUN-B30,3.0,22:00,2,3014.77
57,2026-07-22,1,C (22-06),L2,FUN-B30,3.0,22:00,3,3017.0
57,2026-07-22,1,C (22-06),L2,FUN-B30,3.0,22:00,4,3035.85
57,2026-07-22,1,C (22-06),L2,FUN-B30,3.0,22:00,5,3023.91
58,2026-07-22,1,C (22-06),L2,FUN-B30,3.0,00:00,1,3007.63
58,2026-07-22,1,C (22-06),L2,FUN-B30,3.0,00:00,2,3004.8
58,2026-07-22,1,C (22-06),L2,FUN-B30,3.0,00:00,3,3010.92
58,2026-07-22,1,C (22-06),L2,FUN-B30,3.0,00:00,4,2997.45
58,2026-07-22,1,C (22-06),L2,FUN-B30,3.0,00:00,5,3016.03
59,2026-07-22,1,C (22-06),L2,FUN-B30,3.0,02:00,1,3005.87
59,2026-07-22,1,C (22-06),L2,FUN-B30,3.0,02:00,2,2988.1
59,2026-07-22,1,C (22-06),L2,FUN-B30,3.0,02:00,3,3004.76
59,2026-07-22,1,C (22-06),L2,FUN-B30,3.0,02:00,4,3000.17
59,2026-07-22,1,C (22-06),L2,FUN-B30,3.0,02:00,5,3003.84
60,2026-07-22,1,C (22-06),L2,FUN-B30,3.0,04:00,1,3024.89
60,2026-07-22,1,C (22-06),L2,FUN-B30,3.0,04:00,2,3007.37
60,2026-07-22,1,C (22-06),L2,FUN-B30,3.0,04:00,3,3008.23
60,2026-07-22,1,C (22-06),L2,FUN-B30,3.0,04:00,4,3008.86
60,2026-07-22,1,C (22-06),L2,FUN-B30,3.0,04:00,5,3015.73
61,2026-07-23,1,A (06-14),L2,CIT-L15,1.5,06:00,1,1499.29
61,2026-07-23,1,A (06-14),L2,CIT-L15,1.5,06:00,2,1501.54
61,2026-07-23,1,A (06-14),L2,CIT-L15,1.5,06:00,3,1497.27
61,2026-07-23,1,A (06-14),L2,CIT-L15,1.5,06:00,4,1504.01
61,2026-07-23,1,A (06-14),L2,CIT-L15,1.5,06:00,5,1494.77
62,2026-07-23,1,A (06-14),L2,CIT-L15,1.5,08:00,1,1504.46
62,2026-07-23,1,A (06-14),L2,CIT-L15,1.5,08:00,2,1507.51
62,2026-07-23,1,A (06-14),L2,CIT-L15,1.5,08:00,3,1506.09
62,2026-07-23,1,A (06-14),L2,CIT-L15,1.5,08:00,4,1503.59
62,2026-07-23,1,A (06-14),L2,CIT-L15,1.5,08:00,5,1505.24
63,2026-07-23,1,A (06-14),L2,CIT-L15,1.5,10:00,1,1508.75
63,2026-07-23,1,A (06-14),L2,CIT-L15,1.5,10:00,2,1496.97
63,2026-07-23,1,A (06-14),L2,CIT-L15,1.5,10:00,3,1506.86
63,2026-07-23,1,A (06-14),L2,CIT-L15,1.5,10:00,4,1505.4
63,2026-07-23,1,A (06-14),L2,CIT-L15,1.5,10:00,5,1507.74
64,2026-07-23,1,A (06-14),L2,CIT-L15,1.5,12:00,1,1505.36
64,2026-07-23,1,A (06-14),L2,CIT-L15,1.5,12:00,2,1500.55
64,2026-07-23,1,A (06-14),L2,CIT-L15,1.5,12:00,3,1497.31
64,2026-07-23,1,A (06-14),L2,CIT-L15,1.5,12:00,4,1506.12
64,2026-07-23,1,A (06-14),L2,CIT-L15,1.5,12:00,5,1504.95
65,2026-07-23,1,B (14-22),L2,NEC-D30,3.0,14:00,1,3003.84
65,2026-07-23,1,B (14-22),L2,NEC-D30,3.0,14:00,2,3006.0
65,2026-07-23,1,B (14-22),L2,NEC-D30,3.0,14:00,3,3011.41
65,2026-07-23,1,B (14-22),L2,NEC-D30,3.0,14:00,4,3015.64
65,2026-07-23,1,B (14-22),L2,NEC-D30,3.0,14:00,5,3004.89
66,2026-07-23,1,B (14-22),L2,NEC-D30,3.0,16:00,1,3004.97
66,2026-07-23,1,B (14-22),L2,NEC-D30,3.0,16:00,2,2999.24
66,2026-07-23,1,B (14-22),L2,NEC-D30,3.0,16:00,3,3007.01
66,2026-07-23,1,B (14-22),L2,NEC-D30,3.0,16:00,4,3012.99
66,2026-07-23,1,B (14-22),L2,NEC-D30,3.0,16:00,5,3002.24
67,2026-07-23,1,B (14-22),L2,NEC-D30,3.0,18:00,1,2990.37
67,2026-07-23,1,B (14-22),L2,NEC-D30,3.0,18:00,2,3014.85
67,2026-07-23,1,B (14-22),L2,NEC-D30,3.0,18:00,3,3017.23
67,2026-07-23,1,B (14-22),L2,NEC-D30,3.0,18:00,4,3002.84
