semana,fecha_lunes,anio_iso,semana_iso,sku,ventas_cajas,dias_sin_stock,promocion,precio_lista_clp,precio_efectivo_clp
31,2024-04-29,2024,18,NEC-D05,1529.0,0.0,0,6620,6620
32,2024-05-06,2024,19,NEC-D05,1742.0,0.0,0,6620,6620
33,2024-05-13,2024,20,NEC-D05,1818.0,0.0,0,6620,6620
34,2024-05-20,2024,21,NEC-D05,1916.0,0.0,0,6620,6620
35,2024-05-27,2024,22,NEC-D05,1437.0,0.0,0,6620,6620
36,2024-06-03,2024,23,NEC-D05,1664.0,0.0,0,6620,6620
37,2024-06-10,2024,24,NEC-D05,2358.0,0.0,1,6620,4839
38,2024-06-17,2024,25,NEC-D05,1636.0,0.0,0,6620,6620
39,2024-06-24,2024,26,NEC-D05,1887.0,0.0,0,6620,6620
40,2024-07-01,2024,27,NEC-D05,1526.0,0.0,0,6620,6620
41,2024-07-08,2024,28,NEC-D05,1444.0,0.0,0,6620,6620
42,2024-07-15,2024,29,NEC-D05,1666.0,0.0,0,6620,6620
43,2024-07-22,2024,30,NEC-D05,1667.0,0.0,0,6620,6620
44,2024-07-29,2024,31,NEC-D05,1575.0,0.0,0,6620,6620
45,2024-08-05,2024,32,NEC-D05,1278.0,0.0,0,6620,6620
46,2024-08-12,2024,33,NEC-D05,1593.0,0.0,0,6620,6620
47,2024-08-19,2024,34,NEC-D05,1712.0,0.0,0,6620,6620
48,2024-08-26,2024,35,NEC-D05,1525.0,0.0,0,6620,6620
49,2024-09-02,2024,36,NEC-D05,1769.0,0.0,1,6620,5042
50,2024-09-09,2024,37,NEC-D05,1245.0,0.0,0,6620,6620
51,2024-09-16,2024,38,NEC-D05,1151.0,0.0,0,6620,6620
52,2024-09-23,2024,39,NEC-D05,1541.0,0.0,0,6620,6620
53,2024-09-30,2024,40,NEC-D05,1258.0,0.0,0,6620,6620
54,2024-10-07,2024,41,NEC-D05,1054.0,0.0,0,6620,6620
55,2024-10-14,2024,42,NEC-D05,1174.0,0.0,0,6620,6620
56,2024-10-21,2024,43,NEC-D05,942.0,0.0,0,6620,6620
57,2024-10-28,2024,44,NEC-D05,1297.0,0.0,0,6620,6620
58,2024-11-04,2024,45,NEC-D05,1111.0,0.0,0,6620,6620
59,2024-11-11,2024,46,NEC-D05,1195.0,0.0,0,6620,6620
60,2024-11-18,2024,47,NEC-D05,1414.0,0.0,1,6620,4902
61,2024-11-25,2024,48,NEC-D05,981.0,0.0,0,6620,6620
62,2024-12-02,2024,49,NEC-D05,1133.0,0.0,0,6620,6620
63,2024-12-09,2024,50,NEC-D05,1069.0,0.0,0,6620,6620
64,2024-12-16,2024,51,NEC-D05,994.0,0.0,0,6620,6620
65,2024-12-23,2024,52,NEC-D05,1366.0,0.0,0,6620,6620
66,2024-12-30,2025,1,NEC-D05,1111.0,0.0,0,6620,6620
67,2025-01-06,2025,2,NEC-D05,1553.0,0.0,0,6620,6620
68,2025-01-13,2025,3,NEC-D05,1579.0,0.0,0,6620,6620
69,2025-01-20,2025,4,NEC-D05,1606.0,0.0,0,6620,6620
70,2025-01-27,2025,5,NEC-D05,1258.0,0.0,0,6620,6620
71,2025-02-03,2025,6,NEC-D05,2621.0,0.0,1,6620,5251
72,2025-02-10,2025,7,NEC-D05,1175.0,0.0,0,6620,6620
73,2025-02-17,2025,8,NEC-D05,1518.0,0.0,0,6620,6620
74,2025-02-24,2025,9,NEC-D05,1295.0,0.0,0,6620,6620
75,2025-03-03,2025,10,NEC-D05,1641.0,0.0,0,6620,6620
76,2025-03-10,2025,11,NEC-D05,1674.0,0.0,0,6620,6620
77,2025-03-17,2025,12,NEC-D05,1572.0,0.0,0,6620,6620
78,2025-03-24,2025,13,NEC-D05,2893.0,0.0,1,6620,4920
79,2025-03-31,2025,14,NEC-D05,1592.0,0.0,0,6620,6620
80,2025-04-07,2025,15,NEC-D05,1877.0,0.0,0,6620,6620
81,2025-04-14,2025,16,NEC-D05,1492.0,0.0,0,6620,6620
82,2025-04-21,2025,17,NEC-D05,1833.0,0.0,0,6620,6620
83,2025-04-28,2025,18,NEC-D05,1654.0,0.0,0,6620,6620
84,2025-05-05,2025,19,NEC-D05,1817.0,0.0,0,6620,6620
85,2025-05-12,2025,20,NEC-D05,1460.0,0.0,0,6620,6620
86,2025-05-19,2025,21,NEC-D05,2041.0,0.0,0,6620,6620
87,2025-05-26,2025,22,NEC-D05,2800.0,0.0,1,6620,4721
88,2025-06-02,2025,23,NEC-D05,1305.0,0.0,0,6620,6620
89,2025-06-09,2025,24,NEC-D05,1951.0,0.0,0,6620,6620
90,2025-06-16,2025,25,NEC-D05,1413.0,0.0,0,6620,6620
91,2025-06-23,2025,26,NEC-D05,1521.0,0.0,0,6620,6620
92,2025-06-30,2025,27,NEC-D05,1466.0,0.0,0,6620,6620
93,2025-07-07,2025,28,NEC-D05,1464.0,0.0,0,6620,6620
94,2025-07-14,2025,29,NEC-D05,1402.0,0.0,0,6620,6620
95,2025-07-21,2025,30,NEC-D05,2052.0,0.0,1,6620,4809
96,2025-07-28,2025,31,NEC-D05,1510.0,0.0,0,6620,6620
97,2025-08-04,2025,32,NEC-D05,1235.0,0.0,0,6620,6620
98,2025-08-11,2025,33,NEC-D05,1521.0,0.0,0,6620,6620
99,2025-08-18,2025,34,NEC-D05,1453.0,0.0,0,6620,6620
100,2025-08-25,2025,35,NEC-D05,1409.0,0.0,0,6620,6620
101,2025-09-01,2025,36,NEC-D05,1368.0,0.0,0,6620,6620
102,2025-09-08,2025,37,NEC-D05,1304.0,0.0,0,6620,6620
103,2025-09-15,2025,38,NEC-D05,1908.0,0.0,1,6620,4844
104,2025-09-22,2025,39,NEC-D05,1031.0,0.0,0,6620,6620
105,2025-09-29,2025,40,NEC-D05,1240.0,0.0,0,6620,6620
106,2025-10-06,2025,41,NEC-D05,964.0,0.0,0,6620,6620
107,2025-10-13,2025,42,NEC-D05,1147.0,0.0,0,6620,6620
108,2025-10-20,2025,43,NEC-D05,1241.0,0.0,0,6620,6620
109,2025-10-27,2025,44,NEC-D05,979.0,0.0,0,6620,6620
110,2025-11-03,2025,45,NEC-D05,1265.0,0.0,0,6620,6620
111,2025-11-10,2025,46,NEC-D05,1132.0,0.0,0,6620,6620
112,2025-11-17,2025,47,NEC-D05,1178.0,0.0,0,6620,6620
113,2025-11-24,2025,48,NEC-D05,875.0,0.0,0,6620,6620
114,2025-12-01,2025,49,NEC-D05,1137.0,0.0,0,6620,6620
115,2025-12-08,2025,50,NEC-D05,2087.0,0.0,1,6620,4967
116,2025-12-15,2025,51,NEC-D05,1018.0,0.0,0,6620,6620
117,2025-12-22,2025,52,NEC-D05,1068.0,0.0,0,6620,6620
118,2025-12-29,2026,1,NEC-D05,1590.0,0.0,0,6620,6620
119,2026-01-05,2026,2,NEC-D05,1195.0,0.0,0,6620,6620
120,2026-01-12,2026,3,NEC-D05,1621.0,0.0,0,6620,6620
121,2026-01-19,2026,4,NEC-D05,1381.0,0.0,0,6620,6620
122,2026-01-26,2026,5,NEC-D05,1379.0,0.0,0,6620,6620
123,2026-02-02,2026,6,NEC-D05,1570.0,0.0,0,6620,6620
124,2026-02-09,2026,7,NEC-D05,1387.0,0.0,0,6620,6620
125,2026-02-16,2026,8,NEC-D05,1259.0,0.0,0,6620,6620
126,2026-02-23,2026,9,NEC-D05,1225.0,0.0,0,6620,6620
127,2026-03-02,2026,10,NEC-D05,2436.0,0.0,1,6620,5070
128,2026-03-09,2026,11,NEC-D05,1436.0,0.0,0,6620,6620
129,2026-03-16,2026,12,NEC-D05,1594.0,0.0,0,6620,6620
130,2026-03-23,2026,13,NEC-D05,1585.0,0.0,0,6620,6620
131,2026-03-30,2026,14,NEC-D05,2011.0,0.0,0,6620,6620
132,2026-04-06,2026,15,NEC-D05,1931.0,0.0,0,6620,6620
133,2026-04-13,2026,16,NEC-D05,3189.0,0.0,1,6620,5049
134,2026-04-20,2026,17,NEC-D05,1720.0,0.0,0,6620,6620
135,2026-04-27,2026,18,NEC-D05,1603.0,0.0,0,6620,6620
136,2026-05-04,2026,19,NEC-D05,1677.0,0.0,0,6620,6620
137,2026-05-11,2026,20,NEC-D05,1719.0,0.0,0,6620,6620
138,2026-05-18,2026,21,NEC-D05,1709.0,0.0,0,6620,6620
139,2026-05-25,2026,22,NEC-D05,1934.0,0.0,0,6620,6620
140,2026-06-01,2026,23,NEC-D05,2193.0,0.0,0,6620,6620
141,2026-06-08,2026,24,NEC-D05,1595.0,0.0,0,6620,6620
142,2026-06-15,2026,25,NEC-D05,1545.0,0.0,0,6620,6620
143,2026-06-22,2026,26,NEC-D05,1750.0,0.0,0,6620,6620
144,2026-06-29,2026,27,NEC-D05,1661.0,0.0,0,6620,6620
145,2026-07-06,2026,28,NEC-D05,2032.0,0.0,1,6620,4655
146,2026-07-13,2026,29,NEC-D05,1514.0,0.0,0,6620,6620
147,2026-07-20,2026,30,NEC-D05,1624.0,0.0,0,6620,6620
148,2026-07-27,2026,31,NEC-D05,1653.0,0.0,0,6620,6620
149,2026-08-03,2026,32,NEC-D05,1620.0,0.0,0,6620,6620
150,2026-08-10,2026,33,NEC-D05,1582.0,0.0,0,6620,6620
151,2026-08-17,2026,34,NEC-D05,1998.0,0.0,1,6620,5028
152,2026-08-24,2026,35,NEC-D05,1197.0,0.0,0,6620,6620
153,2026-08-31,2026,36,NEC-D05,1199.0,0.0,0,6620,6620
154,2026-09-07,2026,37,NEC-D05,1319.0,0.0,0,6620,6620
155,2026-09-14,2026,38,NEC-D05,1012.0,0.0,0,6620,6620
156,2026-09-21,2026,39,NEC-D05,1257.0,0.0,0,6620,6620
1,2023-10-02,2023,40,NEC-D15,1943.0,0.0,0,9930,9930
2,2023-10-09,2023,41,NEC-D15,2230.0,0.0,0,9930,9930
3,2023-10-16,2023,42,NEC-D15,2237.0,0.0,0,9930,9930
4,2023-10-23,2023,43,NEC-D15,1980.0,0.0,0,9930,9930
5,2023-10-30,2023,44,NEC-D15,1668.0,0.0,0,9930,9930
6,2023-11-06,2023,45,NEC-D15,3218.0,0.0,1,9930,7725
7,2023-11-13,2023,46,NEC-D15,1707.0,0.0,0,9930,9930
8,2023-11-20,2023,47,NEC-D15,1831.0,0.0,0,9930,9930
9,2023-11-27,2023,48,NEC-D15,2109.0,0.0,0,9930,9930
10,2023-12-04,2023,49,NEC-D15,1685.0,0.0,0,9930,9930
11,2023-12-11,2023,50,NEC-D15,1804.0,0.0,0,9930,9930
12,2023-12-18,2023,51,NEC-D15,1693.0,0.0,0,9930,9930
13,2023-12-25,2023,52,NEC-D15,1931.0,0.0,0,9930,9930
14,2024-01-01,2024,1,NEC-D15,2184.0,0.0,0,9930,9930
15,2024-01-08,2024,2,NEC-D15,2163.0,0.0,0,9930,9930
16,2024-01-15,2024,3,NEC-D15,2952.0,0.0,0,9930,9930
17,2024-01-22,2024,4,NEC-D15,2443.0,0.0,0,9930,9930
18,2024-01-29,2024,5,NEC-D15,3080.0,0.0,1,9930,8009
19,2024-02-05,2024,6,NEC-D15,2300.0,0.0,0,9930,9930
20,2024-02-12,2024,7,NEC-D15,2470.0,0.0,0,9930,9930
21,2024-02-19,2024,8,NEC-D15,2919.0,0.0,0,9930,9930
22,2024-02-26,2024,9,NEC-D15,2641.0,0.0,0,9930,9930
23,2024-03-04,2024,10,NEC-D15,3021.0,0.0,0,9930,9930
24,2024-03-11,2024,11,NEC-D15,2649.0,0.0,0,9930,9930
25,2024-03-18,2024,12,NEC-D15,3182.0,0.0,0,9930,9930
26,2024-03-25,2024,13,NEC-D15,2861.0,0.0,0,9930,9930
27,2024-04-01,2024,14,NEC-D15,2483.0,0.0,0,9930,9930
28,2024-04-08,2024,15,NEC-D15,3046.0,0.0,0,9930,9930
29,2024-04-15,2024,16,NEC-D15,4016.0,0.0,1,9930,7646
30,2024-04-22,2024,17,NEC-D15,2090.0,0.0,0,9930,9930
31,2024-04-29,2024,18,NEC-D15,2777.0,0.0,0,9930,9930
32,2024-05-06,2024,19,NEC-D15,3158.0,0.0,0,9930,9930
33,2024-05-13,2024,20,NEC-D15,3097.0,0.0,0,9930,9930
34,2024-05-20,2024,21,NEC-D15,3169.0,0.0,0,9930,9930
35,2024-05-27,2024,22,NEC-D15,3237.0,0.0,0,9930,9930
36,2024-06-03,2024,23,NEC-D15,3020.0,0.0,0,9930,9930
37,2024-06-10,2024,24,NEC-D15,2852.0,0.0,0,9930,9930
38,2024-06-17,2024,25,NEC-D15,5295.0,0.0,1,9930,7047
39,2024-06-24,2024,26,NEC-D15,2651.0,0.0,0,9930,9930
40,2024-07-01,2024,27,NEC-D15,2906.0,0.0,0,9930,9930
41,2024-07-08,2024,28,NEC-D15,2904.0,0.0,0,9930,9930
42,2024-07-15,2024,29,NEC-D15,2361.0,0.0,0,9930,9930
43,2024-07-22,2024,30,NEC-D15,2608.0,0.0,0,9930,9930
44,2024-07-29,2024,31,NEC-D15,2813.0,0.0,0,9930,9930
45,2024-08-05,2024,32,NEC-D15,2947.0,0.0,0,9930,9930
46,2024-08-12,2024,33,NEC-D15,2045.0,0.0,0,9930,9930
47,2024-08-19,2024,34,NEC-D15,4110.0,0.0,1,9930,7173
48,2024-08-26,2024,35,NEC-D15,2422.0,0.0,0,9930,9930
49,2024-09-02,2024,36,NEC-D15,2818.0,0.0,0,9930,9930
50,2024-09-09,2024,37,NEC-D15,2565.0,0.0,0,9930,9930
51,2024-09-16,2024,38,NEC-D15,3262.0,0.0,0,9930,9930
52,2024-09-23,2024,39,NEC-D15,2262.0,0.0,0,9930,9930
53,2024-09-30,2024,40,NEC-D15,1918.0,0.0,0,9930,9930
54,2024-10-07,2024,41,NEC-D15,2108.0,0.0,0,9930,9930
55,2024-10-14,2024,42,NEC-D15,2144.0,0.0,0,9930,9930
56,2024-10-21,2024,43,NEC-D15,2980.0,0.0,1,9930,7152
57,2024-10-28,2024,44,NEC-D15,1525.0,0.0,0,9930,9930
58,2024-11-04,2024,45,NEC-D15,1830.0,0.0,0,9930,9930
59,2024-11-11,2024,46,NEC-D15,1807.0,0.0,0,9930,9930
60,2024-11-18,2024,47,NEC-D15,2370.0,0.0,0,9930,9930
61,2024-11-25,2024,48,NEC-D15,1966.0,0.0,0,9930,9930
62,2024-12-02,2024,49,NEC-D15,2368.0,0.0,0,9930,9930
63,2024-12-09,2024,50,NEC-D15,20052.0,0.0,1,9930,8170
64,2024-12-16,2024,51,NEC-D15,1752.0,0.0,0,9930,9930
65,2024-12-23,2024,52,NEC-D15,2046.0,0.0,0,9930,9930
66,2024-12-30,2025,1,NEC-D15,2485.0,0.0,0,9930,9930
67,2025-01-06,2025,2,NEC-D15,2361.0,0.0,0,9930,9930
68,2025-01-13,2025,3,NEC-D15,2051.0,0.0,0,9930,9930
69,2025-01-20,2025,4,NEC-D15,3053.0,0.0,1,9930,7686
70,2025-01-27,2025,5,NEC-D15,2228.0,0.0,0,9930,9930
71,2025-02-03,2025,6,NEC-D15,2503.0,0.0,0,9930,9930
72,2025-02-10,2025,7,NEC-D15,2212.0,0.0,0,9930,9930
73,2025-02-17,2025,8,NEC-D15,2441.0,0.0,0,9930,9930
74,2025-02-24,2025,9,NEC-D15,2303.0,0.0,0,9930,9930
75,2025-03-03,2025,10,NEC-D15,3031.0,0.0,0,9930,9930
76,2025-03-10,2025,11,NEC-D15,2917.0,0.0,0,9930,9930
77,2025-03-17,2025,12,NEC-D15,2931.0,0.0,0,9930,9930
78,2025-03-24,2025,13,NEC-D15,5750.0,0.0,1,9930,7936
79,2025-03-31,2025,14,NEC-D15,2100.0,0.0,0,9930,9930
80,2025-04-07,2025,15,NEC-D15,2431.0,0.0,0,9930,9930
81,2025-04-14,2025,16,NEC-D15,3092.0,0.0,0,9930,9930
82,2025-04-21,2025,17,NEC-D15,4032.0,0.0,0,9930,9930
83,2025-04-28,2025,18,NEC-D15,2620.0,0.0,0,9930,9930
84,2025-05-05,2025,19,NEC-D15,5233.0,0.0,1,9930,8277
85,2025-05-12,2025,20,NEC-D15,2833.0,0.0,0,9930,9930
86,2025-05-19,2025,21,NEC-D15,3098.0,0.0,0,9930,9930
87,2025-05-26,2025,22,NEC-D15,2794.0,0.0,0,9930,9930
88,2025-06-02,2025,23,NEC-D15,3079.0,0.0,0,9930,9930
89,2025-06-09,2025,24,NEC-D15,2897.0,0.0,0,9930,9930
90,2025-06-16,2025,25,NEC-D15,3460.0,0.0,0,9930,9930
91,2025-06-23,2025,26,NEC-D15,2981.0,0.0,0,9930,9930
92,2025-06-30,2025,27,NEC-D15,2795.0,0.0,0,9930,9930
93,2025-07-07,2025,28,NEC-D15,3012.0,0.0,0,9930,9930
94,2025-07-14,2025,29,NEC-D15,3165.0,0.0,0,9930,9930
95,2025-07-21,2025,30,NEC-D15,2348.0,0.0,0,9930,9930
96,2025-07-28,2025,31,NEC-D15,3632.0,0.0,1,9930,7627
97,2025-08-04,2025,32,NEC-D15,2061.0,0.0,0,9930,9930
98,2025-08-11,2025,33,NEC-D15,3255.0,0.0,0,9930,9930
99,2025-08-18,2025,34,NEC-D15,2242.0,0.0,0,9930,9930
100,2025-08-25,2025,35,NEC-D15,2004.0,0.0,0,9930,9930
101,2025-09-01,2025,36,NEC-D15,2858.0,0.0,0,9930,9930
102,2025-09-08,2025,37,NEC-D15,1931.0,0.0,0,9930,9930
103,2025-09-15,2025,38,NEC-D15,2369.0,0.0,0,9930,9930
104,2025-09-22,2025,39,NEC-D15,2612.0,0.0,1,9930,8062
105,2025-09-29,2025,40,NEC-D15,2060.0,0.0,0,9930,9930
106,2025-10-06,2025,41,NEC-D15,2034.0,0.0,0,9930,9930
107,2025-10-13,2025,42,NEC-D15,1655.0,0.0,0,9930,9930
108,2025-10-20,2025,43,NEC-D15,1597.0,0.0,0,9930,9930
109,2025-10-27,2025,44,NEC-D15,2018.0,0.0,0,9930,9930
110,2025-11-03,2025,45,NEC-D15,2266.0,0.0,0,9930,9930
111,2025-11-10,2025,46,NEC-D15,1899.0,0.0,0,9930,9930
112,2025-11-17,2025,47,NEC-D15,1739.0,0.0,0,9930,9930
113,2025-11-24,2025,48,NEC-D15,2111.0,0.0,0,9930,9930
114,2025-12-01,2025,49,NEC-D15,1960.0,0.0,0,9930,9930
115,2025-12-08,2025,50,NEC-D15,1844.0,0.0,0,9930,9930
116,2025-12-15,2025,51,NEC-D15,3259.0,0.0,1,9930,8431
117,2025-12-22,2025,52,NEC-D15,2031.0,0.0,0,9930,9930
118,2025-12-29,2026,1,NEC-D15,2394.0,0.0,0,9930,9930
119,2026-01-05,2026,2,NEC-D15,2061.0,0.0,0,9930,9930
120,2026-01-12,2026,3,NEC-D15,2747.0,0.0,0,9930,9930
121,2026-01-19,2026,4,NEC-D15,2124.0,0.0,0,9930,9930
122,2026-01-26,2026,5,NEC-D15,2551.0,0.0,0,9930,9930
123,2026-02-02,2026,6,NEC-D15,2206.0,0.0,0,9930,9930
124,2026-02-09,2026,7,NEC-D15,4218.0,0.0,1,9930,7675
125,2026-02-16,2026,8,NEC-D15,2218.0,0.0,0,9930,9930
126,2026-02-23,2026,9,NEC-D15,2572.0,0.0,0,9930,9930
127,2026-03-02,2026,10,NEC-D15,2434.0,0.0,0,9930,9930
128,2026-03-09,2026,11,NEC-D15,2532.0,0.0,0,9930,9930
129,2026-03-16,2026,12,NEC-D15,3257.0,0.0,0,9930,9930
130,2026-03-23,2026,13,NEC-D15,4677.0,0.0,1,9930,8127
131,2026-03-30,2026,14,NEC-D15,3549.0,0.0,0,9930,9930
132,2026-04-06,2026,15,NEC-D15,2819.0,0.0,0,9930,9930
133,2026-04-13,2026,16,NEC-D15,2898.0,0.0,0,9930,9930
134,2026-04-20,2026,17,NEC-D15,3852.0,0.0,0,9930,9930
135,2026-04-27,2026,18,NEC-D15,3379.0,0.0,0,9930,9930
136,2026-05-04,2026,19,NEC-D15,2421.0,0.0,0,9930,9930
137,2026-05-11,2026,20,NEC-D15,3444.0,0.0,0,9930,9930
138,2026-05-18,2026,21,NEC-D15,2892.0,0.0,0,9930,9930
139,2026-05-25,2026,22,NEC-D15,3053.0,0.0,0,9930,9930
140,2026-06-01,2026,23,NEC-D15,5693.0,0.0,1,9930,7859
141,2026-06-08,2026,24,NEC-D15,2985.0,0.0,0,9930,9930
142,2026-06-15,2026,25,NEC-D15,3256.0,0.0,0,9930,9930
143,2026-06-22,2026,26,NEC-D15,3749.0,0.0,0,9930,9930
144,2026-06-29,2026,27,NEC-D15,2605.0,0.0,0,9930,9930
145,2026-07-06,2026,28,NEC-D15,2589.0,0.0,0,9930,9930
146,2026-07-13,2026,29,NEC-D15,2080.0,0.0,0,9930,9930
147,2026-07-20,2026,30,NEC-D15,3441.0,0.0,0,9930,9930
148,2026-07-27,2026,31,NEC-D15,3642.0,0.0,1,9930,7154
149,2026-08-03,2026,32,NEC-D15,1980.0,0.0,0,9930,9930
150,2026-08-10,2026,33,NEC-D15,2229.0,0.0,0,9930,9930
151,2026-08-17,2026,34,NEC-D15,1781.0,0.0,0,9930,9930
152,2026-08-24,2026,35,NEC-D15,2872.0,0.0,0,9930,9930
153,2026-08-31,2026,36,NEC-D15,2455.0,0.0,0,9930,9930
154,2026-09-07,2026,37,NEC-D15,3736.0,0.0,1,9930,7396
155,2026-09-14,2026,38,NEC-D15,1924.0,0.0,0,9930,9930
156,2026-09-21,2026,39,NEC-D15,2208.0,0.0,0,9930,9930
1,2023-10-02,2023,40,NEC-D30,455.0,0.0,0,13240,13240
2,2023-10-09,2023,41,NEC-D30,491.0,0.0,0,13240,13240
3,2023-10-16,2023,42,NEC-D30,518.0,0.0,0,13240,13240
4,2023-10-23,2023,43,NEC-D30,658.0,0.0,0,13240,13240
5,2023-10-30,2023,44,NEC-D30,353.0,0.0,0,13240,13240
6,2023-11-06,2023,45,NEC-D30,470.0,0.0,0,13240,13240
7,2023-11-13,2023,46,NEC-D30,487.0,0.0,0,13240,13240
8,2023-11-20,2023,47,NEC-D30,446.0,0.0,0,13240,13240
9,2023-11-27,2023,48,NEC-D30,548.0,0.0,0,13240,13240
10,2023-12-04,2023,49,NEC-D30,435.0,0.0,0,13240,13240
11,2023-12-11,2023,50,NEC-D30,437.0,0.0,0,13240,13240
12,2023-12-18,2023,51,NEC-D30,537.0,0.0,1,13240,10444
13,2023-12-25,2023,52,NEC-D30,450.0,0.0,0,13240,13240
14,2024-01-01,2024,1,NEC-D30,471.0,0.0,0,13240,13240
15,2024-01-08,2024,2,NEC-D30,522.0,0.0,0,13240,13240
16,2024-01-15,2024,3,NEC-D30,665.0,0.0,0,13240,13240
17,2024-01-22,2024,4,NEC-D30,649.0,0.0,0,13240,13240
18,2024-01-29,2024,5,NEC-D30,471.0,0.0,0,13240,13240
19,2024-02-05,2024,6,NEC-D30,975.0,0.0,1,13240,10130
20,2024-02-12,2024,7,NEC-D30,586.0,0.0,0,13240,13240
21,2024-02-19,2024,8,NEC-D30,561.0,0.0,0,13240,13240
22,2024-02-26,2024,9,NEC-D30,685.0,0.0,0,13240,13240
23,2024-03-04,2024,10,NEC-D30,678.0,0.0,0,13240,13240
24,2024-03-11,2024,11,NEC-D30,834.0,0.0,0,13240,13240
25,2024-03-18,2024,12,NEC-D30,1185.0,0.0,1,13240,11064
26,2024-03-25,2024,13,NEC-D30,647.0,0.0,0,13240,13240
27,2024-04-01,2024,14,NEC-D30,776.0,0.0,0,13240,13240
28,2024-04-08,2024,15,NEC-D30,831.0,0.0,0,13240,13240
29,2024-04-15,2024,16,NEC-D30,625.0,0.0,0,13240,13240
30,2024-04-22,2024,17,NEC-D30,836.0,0.0,0,13240,13240
31,2024-04-29,2024,18,NEC-D30,1200.0,0.0,1,13240,10306
32,2024-05-06,2024,19,NEC-D30,609.0,0.0,0,13240,13240
33,2024-05-13,2024,20,NEC-D30,730.0,0.0,0,13240,13240
34,2024-05-20,2024,21,NEC-D30,721.0,0.0,0,13240,13240
35,2024-05-27,2024,22,NEC-D30,714.0,0.0,0,13240,13240
36,2024-06-03,2024,23,NEC-D30,719.0,0.0,0,13240,13240
37,2024-06-10,2024,24,NEC-D30,862.0,0.0,0,13240,13240
38,2024-06-17,2024,25,NEC-D30,1011.0,0.0,1,13240,9303
39,2024-06-24,2024,26,NEC-D30,541.0,0.0,0,13240,13240
40,2024-07-01,2024,27,NEC-D30,824.0,0.0,0,13240,13240
41,2024-07-08,2024,28,NEC-D30,830.0,0.0,0,13240,13240
42,2024-07-15,2024,29,NEC-D30,782.0,0.0,0,13240,13240
43,2024-07-22,2024,30,NEC-D30,611.0,0.0,0,13240,13240
44,2024-07-29,2024,31,NEC-D30,655.0,0.0,0,13240,13240
45,2024-08-05,2024,32,NEC-D30,752.0,0.0,0,13240,13240
46,2024-08-12,2024,33,NEC-D30,630.0,0.0,0,13240,13240
47,2024-08-19,2024,34,NEC-D30,802.0,0.0,1,13240,10261
48,2024-08-26,2024,35,NEC-D30,570.0,0.0,0,13240,13240
49,2024-09-02,2024,36,NEC-D30,469.0,0.0,0,13240,13240
50,2024-09-09,2024,37,NEC-D30,471.0,0.0,0,13240,13240
51,2024-09-16,2024,38,NEC-D30,494.0,0.0,0,13240,13240
52,2024-09-23,2024,39,NEC-D30,485.0,0.0,0,13240,13240
53,2024-09-30,2024,40,NEC-D30,568.0,0.0,0,13240,13240
54,2024-10-07,2024,41,NEC-D30,547.0,0.0,0,13240,13240
