t,semana,iso_anio,iso_semana,sku,familia,formato_g,canal,pedidos_cajas,despachos_cajas,precio_clp_caja,promo,fiestas_patrias,semana_santa,planta_cerrada
54,2024-03-11,2024,11,DUR-480,DUR,480,Retail,1502.0,1502.0,22267.0,0,0,0,0
55,2024-03-18,2024,12,DUR-480,DUR,480,Retail,976.0,976.0,22282.0,0,0,0,0
56,2024-03-25,2024,13,DUR-480,DUR,480,Retail,1232.0,1232.0,22297.0,0,0,1,0
57,2024-04-01,2024,14,DUR-480,DUR,480,Retail,1178.0,1178.0,22311.0,0,0,0,0
58,2024-04-08,2024,15,DUR-480,DUR,480,Retail,1020.0,1020.0,22326.0,0,0,0,0
59,2024-04-15,2024,16,DUR-480,DUR,480,Retail,1079.0,1079.0,22341.0,0,0,0,0
60,2024-04-22,2024,17,DUR-480,DUR,480,Retail,1001.0,1001.0,22356.0,0,0,0,0
61,2024-04-29,2024,18,DUR-480,DUR,480,Retail,890.0,890.0,22371.0,0,0,0,0
62,2024-05-06,2024,19,DUR-480,DUR,480,Retail,865.0,865.0,22385.0,0,0,0,0
63,2024-05-13,2024,20,DUR-480,DUR,480,Retail,1550.0,1550.0,18368.0,1,0,0,0
64,2024-05-20,2024,21,DUR-480,DUR,480,Retail,792.0,792.0,22415.0,0,0,0,0
65,2024-05-27,2024,22,DUR-480,DUR,480,Retail,1048.0,1048.0,22430.0,0,0,0,0
66,2024-06-03,2024,23,DUR-480,DUR,480,Retail,1511.0,1511.0,18405.0,1,0,0,0
67,2024-06-10,2024,24,DUR-480,DUR,480,Retail,828.0,828.0,22460.0,0,0,0,0
68,2024-06-17,2024,25,DUR-480,DUR,480,Retail,933.0,933.0,22474.0,0,0,0,0
69,2024-06-24,2024,26,DUR-480,DUR,480,Retail,1035.0,1035.0,22489.0,0,0,0,0
70,2024-07-01,2024,27,DUR-480,DUR,480,Retail,990.0,990.0,22504.0,0,0,0,0
71,2024-07-08,2024,28,DUR-480,DUR,480,Retail,934.0,934.0,22519.0,0,0,0,0
72,2024-07-15,2024,29,DUR-480,DUR,480,Retail,962.0,962.0,22534.0,0,0,0,0
73,2024-07-22,2024,30,DUR-480,DUR,480,Retail,1723.0,1723.0,18490.0,1,0,0,0
74,2024-07-29,2024,31,DUR-480,DUR,480,Retail,981.0,981.0,22564.0,0,0,0,0
75,2024-08-05,2024,32,DUR-480,DUR,480,Retail,1038.0,1038.0,22579.0,0,0,0,0
76,2024-08-12,2024,33,DUR-480,DUR,480,Retail,874.0,874.0,22594.0,0,0,0,0
77,2024-08-19,2024,34,DUR-480,DUR,480,Retail,1328.0,1328.0,22609.0,0,0,0,0
78,2024-08-26,2024,35,DUR-480,DUR,480,Retail,1111.0,1111.0,22624.0,0,0,0,0
79,2024-09-02,2024,36,DUR-480,DUR,480,Retail,1365.0,1365.0,22639.0,0,0,0,0
80,2024-09-09,2024,37,DUR-480,DUR,480,Retail,1434.0,1434.0,22654.0,0,0,0,0
81,2024-09-16,2024,38,DUR-480,DUR,480,Retail,2008.0,2008.0,22669.0,0,1,0,0
82,2024-09-23,2024,39,DUR-480,DUR,480,Retail,2513.0,2291.0,18601.0,1,0,0,0
83,2024-09-30,2024,40,DUR-480,DUR,480,Retail,1042.0,1042.0,22699.0,0,0,0,0
84,2024-10-07,2024,41,DUR-480,DUR,480,Retail,1392.0,1392.0,22714.0,0,0,0,0
85,2024-10-14,2024,42,DUR-480,DUR,480,Retail,1692.0,1692.0,22729.0,0,0,0,0
86,2024-10-21,2024,43,DUR-480,DUR,480,Retail,1800.0,1800.0,22744.0,0,0,0,0
87,2024-10-28,2024,44,DUR-480,DUR,480,Retail,1489.0,1489.0,22759.0,0,0,0,0
88,2024-11-04,2024,45,DUR-480,DUR,480,Retail,1479.0,1479.0,22774.0,0,0,0,0
89,2024-11-11,2024,46,DUR-480,DUR,480,Retail,1531.0,1531.0,22789.0,0,0,0,0
90,2024-11-18,2024,47,DUR-480,DUR,480,Retail,2182.0,2182.0,18699.0,1,0,0,0
91,2024-11-25,2024,48,DUR-480,DUR,480,Retail,1682.0,1682.0,22819.0,0,0,0,0
92,2024-12-02,2024,49,DUR-480,DUR,480,Retail,1777.0,1777.0,22834.0,0,0,0,0
93,2024-12-09,2024,50,DUR-480,DUR,480,Retail,1692.0,1692.0,22849.0,0,0,0,0
94,2024-12-16,2024,51,DUR-480,DUR,480,Retail,1762.0,1762.0,22864.0,0,0,0,0
95,2024-12-23,2024,52,DUR-480,DUR,480,Retail,2478.0,2274.0,18761.0,1,0,0,0
96,2024-12-30,2025,1,DUR-480,DUR,480,Retail,1407.0,1407.0,22895.0,0,0,0,0
97,2025-01-06,2025,2,DUR-480,DUR,480,Retail,1335.0,1335.0,22910.0,0,0,0,0
98,2025-01-13,2025,3,DUR-480,DUR,480,Retail,1366.0,1366.0,22925.0,0,0,0,0
99,2025-01-20,2025,4,DUR-480,DUR,480,Retail,1521.0,1521.0,22940.0,0,0,0,0
100,2025-01-27,2025,5,DUR-480,DUR,480,Retail,1583.0,0.0,22955.0,0,0,0,1
101,2025-02-03,2025,6,DUR-480,DUR,480,Retail,2433.0,0.0,22970.0,0,0,0,1
102,2025-02-10,2025,7,DUR-480,DUR,480,Retail,2804.0,2264.0,22986.0,0,0,0,0
103,2025-02-17,2025,8,DUR-480,DUR,480,Retail,1229.0,1229.0,23001.0,0,0,0,0
104,2025-02-24,2025,9,DUR-480,DUR,480,Retail,1541.0,1541.0,23016.0,0,0,0,0
105,2025-03-03,2025,10,DUR-480,DUR,480,Retail,1200.0,1200.0,23031.0,0,0,0,0
106,2025-03-10,2025,11,DUR-480,DUR,480,Retail,1359.0,1359.0,23047.0,0,0,0,0
107,2025-03-17,2025,12,DUR-480,DUR,480,Retail,1469.0,1469.0,23062.0,0,0,0,0
108,2025-03-24,2025,13,DUR-480,DUR,480,Retail,1317.0,1317.0,23077.0,0,0,0,0
109,2025-03-31,2025,14,DUR-480,DUR,480,Retail,1034.0,1034.0,23092.0,0,0,0,0
110,2025-04-07,2025,15,DUR-480,DUR,480,Retail,2156.0,2156.0,18948.0,1,0,0,0
111,2025-04-14,2025,16,DUR-480,DUR,480,Retail,801.0,801.0,23123.0,0,0,1,0
112,2025-04-21,2025,17,DUR-480,DUR,480,Retail,1079.0,1079.0,23138.0,0,0,0,0
113,2025-04-28,2025,18,DUR-480,DUR,480,Retail,1078.0,1078.0,23154.0,0,0,0,0
114,2025-05-05,2025,19,DUR-480,DUR,480,Retail,1017.0,1017.0,23169.0,0,0,0,0
115,2025-05-12,2025,20,DUR-480,DUR,480,Retail,1034.0,1034.0,23184.0,0,0,0,0
116,2025-05-19,2025,21,DUR-480,DUR,480,Retail,825.0,825.0,23200.0,0,0,0,0
117,2025-05-26,2025,22,DUR-480,DUR,480,Retail,1669.0,1669.0,19036.0,1,0,0,0
118,2025-06-02,2025,23,DUR-480,DUR,480,Retail,874.0,874.0,23230.0,0,0,0,0
119,2025-06-09,2025,24,DUR-480,DUR,480,Retail,889.0,889.0,23246.0,0,0,0,0
120,2025-06-16,2025,25,DUR-480,DUR,480,Retail,905.0,905.0,23261.0,0,0,0,0
121,2025-06-23,2025,26,DUR-480,DUR,480,Retail,925.0,925.0,23276.0,0,0,0,0
122,2025-06-30,2025,27,DUR-480,DUR,480,Retail,1437.0,1437.0,19099.0,1,0,0,0
123,2025-07-07,2025,28,DUR-480,DUR,480,Retail,660.0,660.0,23307.0,0,0,0,0
124,2025-07-14,2025,29,DUR-480,DUR,480,Retail,1031.0,1031.0,23323.0,0,0,0,0
125,2025-07-21,2025,30,DUR-480,DUR,480,Retail,1066.0,1066.0,23338.0,0,0,0,0
126,2025-07-28,2025,31,DUR-480,DUR,480,Retail,914.0,914.0,23354.0,0,0,0,0
127,2025-08-04,2025,32,DUR-480,DUR,480,Retail,1315.0,1315.0,23369.0,0,0,0,0
128,2025-08-11,2025,33,DUR-480,DUR,480,Retail,1136.0,1136.0,23384.0,0,0,0,0
129,2025-08-18,2025,34,DUR-480,DUR,480,Retail,1259.0,1259.0,23400.0,0,0,0,0
130,2025-08-25,2025,35,DUR-480,DUR,480,Retail,1291.0,1291.0,23415.0,0,0,0,0
131,2025-09-01,2025,36,DUR-480,DUR,480,Retail,1423.0,1423.0,23431.0,0,0,0,0
132,2025-09-08,2025,37,DUR-480,DUR,480,Retail,1534.0,1534.0,23446.0,0,0,0,0
133,2025-09-15,2025,38,DUR-480,DUR,480,Retail,1762.0,1762.0,23462.0,0,1,0,0
134,2025-09-22,2025,39,DUR-480,DUR,480,Retail,1688.0,1688.0,19252.0,1,0,0,0
135,2025-09-29,2025,40,DUR-480,DUR,480,Retail,1182.0,1182.0,23493.0,0,0,0,0
136,2025-10-06,2025,41,DUR-480,DUR,480,Retail,1624.0,1624.0,23509.0,0,0,0,0
137,2025-10-13,2025,42,DUR-480,DUR,480,Retail,1380.0,1380.0,23524.0,0,0,0,0
138,2025-10-20,2025,43,DUR-480,DUR,480,Retail,1917.0,1917.0,23540.0,0,0,0,0
139,2025-10-27,2025,44,DUR-480,DUR,480,Retail,3189.0,2216.0,19315.0,1,0,0,0
140,2025-11-03,2025,45,DUR-480,DUR,480,Retail,1633.0,1633.0,23571.0,0,0,0,0
141,2025-11-10,2025,46,DUR-480,DUR,480,Retail,1669.0,1669.0,23586.0,0,0,0,0
142,2025-11-17,2025,47,DUR-480,DUR,480,Retail,1586.0,1586.0,23602.0,0,0,0,0
143,2025-11-24,2025,48,DUR-480,DUR,480,Retail,2043.0,2043.0,23618.0,0,0,0,0
144,2025-12-01,2025,49,DUR-480,DUR,480,Retail,2679.0,2209.0,19379.0,1,0,0,0
145,2025-12-08,2025,50,DUR-480,DUR,480,Retail,1292.0,1292.0,23649.0,0,0,0,0
146,2025-12-15,2025,51,DUR-480,DUR,480,Retail,1939.0,1939.0,23665.0,0,0,0,0
147,2025-12-22,2025,52,DUR-480,DUR,480,Retail,3000.0,2205.0,19418.0,1,0,0,0
148,2025-12-29,2026,1,DUR-480,DUR,480,Retail,1304.0,1304.0,23696.0,0,0,0,0
149,2026-01-05,2026,2,DUR-480,DUR,480,Retail,1249.0,1249.0,23712.0,0,0,0,0
150,2026-01-12,2026,3,DUR-480,DUR,480,Retail,1788.0,1788.0,23727.0,0,0,0,0
151,2026-01-19,2026,4,DUR-480,DUR,480,Retail,1590.0,1590.0,23743.0,0,0,0,0
152,2026-01-26,2026,5,DUR-480,DUR,480,Retail,1398.0,0.0,23759.0,0,0,0,1
153,2026-02-02,2026,6,DUR-480,DUR,480,Retail,2065.0,0.0,23774.0,0,0,0,1
154,2026-02-09,2026,7,DUR-480,DUR,480,Retail,2462.0,2196.0,23790.0,0,0,0,0
155,2026-02-16,2026,8,DUR-480,DUR,480,Retail,1910.0,1910.0,23806.0,0,0,0,0
156,2026-02-23,2026,9,DUR-480,DUR,480,Retail,1244.0,1244.0,23822.0,0,0,0,0
157,2026-03-02,2026,10,DUR-480,DUR,480,Retail,1352.0,1352.0,23837.0,0,0,0,0
158,2026-03-09,2026,11,DUR-480,DUR,480,Retail,1228.0,1228.0,23853.0,0,0,0,0
159,2026-03-16,2026,12,DUR-480,DUR,480,Retail,1523.0,1523.0,23869.0,0,0,0,0
160,2026-03-23,2026,13,DUR-480,DUR,480,Retail,993.0,993.0,23885.0,0,0,0,0
161,2026-03-30,2026,14,DUR-480,DUR,480,Retail,991.0,991.0,23901.0,0,0,1,0
162,2026-04-06,2026,15,DUR-480,DUR,480,Retail,1203.0,1203.0,23916.0,0,0,0,0
163,2026-04-13,2026,16,DUR-480,DUR,480,Retail,1162.0,1162.0,23932.0,0,0,0,0
164,2026-04-20,2026,17,DUR-480,DUR,480,Retail,832.0,832.0,23948.0,0,0,0,0
165,2026-04-27,2026,18,DUR-480,DUR,480,Retail,1011.0,1011.0,23964.0,0,0,0,0
166,2026-05-04,2026,19,DUR-480,DUR,480,Retail,1066.0,1066.0,23980.0,0,0,0,0
167,2026-05-11,2026,20,DUR-480,DUR,480,Retail,1019.0,1019.0,23996.0,0,0,0,0
168,2026-05-18,2026,21,DUR-480,DUR,480,Retail,1239.0,1239.0,24012.0,0,0,0,0
169,2026-05-25,2026,22,DUR-480,DUR,480,Retail,743.0,743.0,24027.0,0,0,0,0
170,2026-06-01,2026,23,DUR-480,DUR,480,Retail,941.0,941.0,24043.0,0,0,0,0
171,2026-06-08,2026,24,DUR-480,DUR,480,Retail,770.0,770.0,24059.0,0,0,0,0
172,2026-06-15,2026,25,DUR-480,DUR,480,Retail,1221.0,1221.0,19742.0,1,0,0,0
173,2026-06-22,2026,26,DUR-480,DUR,480,Retail,924.0,924.0,24091.0,0,0,0,0
174,2026-06-29,2026,27,DUR-480,DUR,480,Retail,838.0,838.0,24107.0,0,0,0,0
175,2026-07-06,2026,28,DUR-480,DUR,480,Retail,772.0,772.0,24123.0,0,0,0,0
176,2026-07-13,2026,29,DUR-480,DUR,480,Retail,714.0,714.0,24139.0,0,0,0,0
177,2026-07-20,2026,30,DUR-480,DUR,480,Retail,1711.0,1711.0,19807.0,1,0,0,0
178,2026-07-27,2026,31,DUR-480,DUR,480,Retail,906.0,906.0,24171.0,0,0,0,0
179,2026-08-03,2026,32,DUR-480,DUR,480,Retail,985.0,985.0,24187.0,0,0,0,0
180,2026-08-10,2026,33,DUR-480,DUR,480,Retail,1069.0,1069.0,24203.0,0,0,0,0
181,2026-08-17,2026,34,DUR-480,DUR,480,Retail,1027.0,1027.0,24219.0,0,0,0,0
182,2026-08-24,2026,35,DUR-480,DUR,480,Retail,2192.0,2161.0,19873.0,1,0,0,0
1,2023-03-06,2023,10,DUR-820,DUR,820,Retail,610.0,610.0,31800.0,0,0,0,0
2,2023-03-13,2023,11,DUR-820,DUR,820,Retail,562.0,562.0,31821.0,0,0,0,0
3,2023-03-20,2023,12,DUR-820,DUR,820,Retail,644.0,644.0,31842.0,0,0,0,0
4,2023-03-27,2023,13,DUR-820,DUR,820,Retail,551.0,551.0,31863.0,0,0,0,0
5,2023-04-03,2023,14,DUR-820,DUR,820,Retail,713.0,713.0,31884.0,0,0,1,0
6,2023-04-10,2023,15,DUR-820,DUR,820,Retail,500.0,500.0,31905.0,0,0,0,0
7,2023-04-17,2023,16,DUR-820,DUR,820,Retail,469.0,469.0,31926.0,0,0,0,0
8,2023-04-24,2023,17,DUR-820,DUR,820,Retail,445.0,445.0,31948.0,0,0,0,0
9,2023-05-01,2023,18,DUR-820,DUR,820,Retail,765.0,765.0,26214.0,1,0,0,0
10,2023-05-08,2023,19,DUR-820,DUR,820,Retail,337.0,337.0,31990.0,0,0,0,0
11,2023-05-15,2023,20,DUR-820,DUR,820,Retail,456.0,456.0,32011.0,0,0,0,0
12,2023-05-22,2023,21,DUR-820,DUR,820,Retail,399.0,399.0,32032.0,0,0,0,0
13,2023-05-29,2023,22,DUR-820,DUR,820,Retail,359.0,359.0,32053.0,0,0,0,0
14,2023-06-05,2023,23,DUR-820,DUR,820,Retail,404.0,404.0,32075.0,0,0,0,0
15,2023-06-12,2023,24,DUR-820,DUR,820,Retail,396.0,396.0,32096.0,0,0,0,0
16,2023-06-19,2023,25,DUR-820,DUR,820,Retail,384.0,384.0,32117.0,0,0,0,0
17,2023-06-26,2023,26,DUR-820,DUR,820,Retail,368.0,368.0,32138.0,0,0,0,0
18,2023-07-03,2023,27,DUR-820,DUR,820,Retail,397.0,397.0,32160.0,0,0,0,0
19,2023-07-10,2023,28,DUR-820,DUR,820,Retail,379.0,379.0,32181.0,0,0,0,0
20,2023-07-17,2023,29,DUR-820,DUR,820,Retail,427.0,427.0,32202.0,0,0,0,0
21,2023-07-24,2023,30,DUR-820,DUR,820,Retail,422.0,422.0,32224.0,0,0,0,0
22,2023-07-31,2023,31,DUR-820,DUR,820,Retail,538.0,538.0,32245.0,0,0,0,0
23,2023-08-07,2023,32,DUR-820,DUR,820,Retail,474.0,474.0,32266.0,0,0,0,0
24,2023-08-14,2023,33,DUR-820,DUR,820,Retail,496.0,496.0,32288.0,0,0,0,0
25,2023-08-21,2023,34,DUR-820,DUR,820,Retail,452.0,452.0,32309.0,0,0,0,0
26,2023-08-28,2023,35,DUR-820,DUR,820,Retail,504.0,504.0,32330.0,0,0,0,0
27,2023-09-04,2023,36,DUR-820,DUR,820,Retail,668.0,668.0,32352.0,0,0,0,0
28,2023-09-11,2023,37,DUR-820,DUR,820,Retail,650.0,650.0,32373.0,0,0,0,0
29,2023-09-18,2023,38,DUR-820,DUR,820,Retail,662.0,662.0,32395.0,0,1,0,0
30,2023-09-25,2023,39,DUR-820,DUR,820,Retail,477.0,477.0,32416.0,0,0,0,0
31,2023-10-02,2023,40,DUR-820,DUR,820,Retail,597.0,597.0,32437.0,0,0,0,0
32,2023-10-09,2023,41,DUR-820,DUR,820,Retail,617.0,617.0,32459.0,0,0,0,0
33,2023-10-16,2023,42,DUR-820,DUR,820,Retail,592.0,592.0,32480.0,0,0,0,0
34,2023-10-23,2023,43,DUR-820,DUR,820,Retail,462.0,462.0,32502.0,0,0,0,0
35,2023-10-30,2023,44,DUR-820,DUR,820,Retail,712.0,712.0,32523.0,0,0,0,0
36,2023-11-06,2023,45,DUR-820,DUR,820,Retail,653.0,653.0,32545.0,0,0,0,0
37,2023-11-13,2023,46,DUR-820,DUR,820,Retail,564.0,564.0,32566.0,0,0,0,0
38,2023-11-20,2023,47,DUR-820,DUR,820,Retail,535.0,535.0,32588.0,0,0,0,0
39,2023-11-27,2023,48,DUR-820,DUR,820,Retail,722.0,722.0,32610.0,0,0,0,0
40,2023-12-04,2023,49,DUR-820,DUR,820,Retail,681.0,681.0,32631.0,0,0,0,0
41,2023-12-11,2023,50,DUR-820,DUR,820,Retail,698.0,698.0,32653.0,0,0,0,0
42,2023-12-18,2023,51,DUR-820,DUR,820,Retail,687.0,687.0,32674.0,0,0,0,0
43,2023-12-25,2023,52,DUR-820,DUR,820,Retail,769.0,769.0,32696.0,0,0,0,0
44,2024-01-01,2024,1,DUR-820,DUR,820,Retail,965.0,875.0,26828.0,1,0,0,0
45,2024-01-08,2024,2,DUR-820,DUR,820,Retail,559.0,559.0,32739.0,0,0,0,0
46,2024-01-15,2024,3,DUR-820,DUR,820,Retail,695.0,695.0,32761.0,0,0,0,0
47,2024-01-22,2024,4,DUR-820,DUR,820,Retail,458.0,458.0,32783.0,0,0,0,0
48,2024-01-29,2024,5,DUR-820,DUR,820,Retail,607.0,0.0,32804.0,0,0,0,1
49,2024-02-05,2024,6,DUR-820,DUR,820,Retail,990.0,0.0,32826.0,0,0,0,1
50,2024-02-12,2024,7,DUR-820,DUR,820,Retail,1160.0,852.0,32848.0,0,0,0,0
51,2024-02-19,2024,8,DUR-820,DUR,820,Retail,811.0,811.0,26953.0,1,0,0,0
52,2024-02-26,2024,9,DUR-820,DUR,820,Retail,504.0,504.0,32891.0,0,0,0,0
53,2024-03-04,2024,10,DUR-820,DUR,820,Retail,459.0,459.0,32913.0,0,0,0,0
54,2024-03-11,2024,11,DUR-820,DUR,820,Retail,426.0,426.0,32935.0,0,0,0,0
55,2024-03-18,2024,12,DUR-820,DUR,820,Retail,433.0,433.0,32957.0,0,0,0,0
56,2024-03-25,2024,13,DUR-820,DUR,820,Retail,441.0,441.0,32978.0,0,0,1,0
57,2024-04-01,2024,14,DUR-820,DUR,820,Retail,754.0,754.0,27060.0,1,0,0,0
58,2024-04-08,2024,15,DUR-820,DUR,820,Retail,322.0,322.0,33022.0,0,0,0,0
59,2024-04-15,2024,16,DUR-820,DUR,820,Retail,399.0,399.0,33044.0,0,0,0,0
60,2024-04-22,2024,17,DUR-820,DUR,820,Retail,373.0,373.0,33066.0,0,0,0,0
61,2024-04-29,2024,18,DUR-820,DUR,820,Retail,487.0,487.0,33088.0,0,0,0,0
62,2024-05-06,2024,19,DUR-820,DUR,820,Retail,616.0,616.0,27150.0,1,0,0,0
63,2024-05-13,2024,20,DUR-820,DUR,820,Retail,255.0,255.0,33131.0,0,0,0,0
64,2024-05-20,2024,21,DUR-820,DUR,820,Retail,354.0,354.0,33153.0,0,0,0,0
65,2024-05-27,2024,22,DUR-820,DUR,820,Retail,331.0,331.0,33175.0,0,0,0,0
66,2024-06-03,2024,23,DUR-820,DUR,820,Retail,326.0,326.0,33197.0,0,0,0,0
67,2024-06-10,2024,24,DUR-820,DUR,820,Retail,270.0,270.0,33219.0,0,0,0,0
68,2024-06-17,2024,25,DUR-820,DUR,820,Retail,345.0,345.0,33241.0,0,0,0,0
69,2024-06-24,2024,26,DUR-820,DUR,820,Retail,420.0,420.0,33263.0,0,0,0,0
70,2024-07-01,2024,27,DUR-820,DUR,820,Retail,292.0,292.0,33285.0,0,0,0,0
71,2024-07-08,2024,28,DUR-820,DUR,820,Retail,436.0,436.0,33307.0,0,0,0,0
72,2024-07-15,2024,29,DUR-820,DUR,820,Retail,379.0,379.0,33329.0,0,0,0,0
73,2024-07-22,2024,30,DUR-820,DUR,820,Retail,461.0,461.0,27348.0,1,0,0,0
74,2024-07-29,2024,31,DUR-820,DUR,820,Retail,342.0,342.0,33373.0,0,0,0,0
75,2024-08-05,2024,32,DUR-820,DUR,820,Retail,386.0,386.0,33396.0,0,0,0,0
76,2024-08-12,2024,33,DUR-820,DUR,820,Retail,378.0,378.0,33418.0,0,0,0,0
77,2024-08-19,2024,34,DUR-820,DUR,820,Retail,386.0,386.0,33440.0,0,0,0,0
78,2024-08-26,2024,35,DUR-820,DUR,820,Retail,344.0,344.0,33462.0,0,0,0,0
79,2024-09-02,2024,36,DUR-820,DUR,820,Retail,476.0,476.0,33484.0,0,0,0,0
80,2024-09-09,2024,37,DUR-820,DUR,820,Retail,500.0,500.0,33506.0,0,0,0,0
81,2024-09-16,2024,38,DUR-820,DUR,820,Retail,661.0,661.0,33528.0,0,1,0,0
82,2024-09-23,2024,39,DUR-820,DUR,820,Retail,631.0,631.0,33551.0,0,0,0,0
83,2024-09-30,2024,40,DUR-820,DUR,820,Retail,581.0,581.0,33573.0,0,0,0,0
