t,sku,nivel,estacionalidad,calendario,promocion,senal_sin_ruido,pedidos_reales,censurado
90,DUR-480,1328.88,1.2805,1.0,1.4852,2527.23,2182.0,0
91,DUR-480,1328.11,1.2913,1.0,0.85,1457.72,1682.0,0
92,DUR-480,1327.33,1.2978,1.0,1.0,1722.62,1777.0,0
93,DUR-480,1326.55,1.3,1.0,1.0,1724.52,1692.0,0
94,DUR-480,1325.77,1.2978,1.0,1.0,1720.61,1762.0,0
95,DUR-480,1325.0,1.2913,1.0,1.8904,3234.37,2478.0,1
96,DUR-480,1324.22,1.2805,1.0,0.85,1441.32,1407.0,0
97,DUR-480,1323.45,1.2656,1.0,1.0,1675.0,1335.0,0
98,DUR-480,1322.67,1.2469,1.0,1.0,1649.23,1366.0,0
99,DUR-480,1321.9,1.2246,1.0,1.0,1618.73,1521.0,0
100,DUR-480,1321.12,1.1989,1.0,1.0,1583.94,1583.0,1
101,DUR-480,1320.35,1.1704,1.0,1.0,1545.36,2433.0,1
102,DUR-480,1319.58,1.1394,1.0,1.0,1503.55,2804.0,1
103,DUR-480,1318.8,1.1064,1.0,1.0,1459.1,1229.0,0
104,DUR-480,1318.03,1.0718,1.0,1.0,1412.66,1541.0,0
105,DUR-480,1317.26,1.0362,1.0,1.0,1364.89,1200.0,0
106,DUR-480,1316.49,1.0,1.0,1.0,1316.49,1359.0,0
107,DUR-480,1315.72,0.9638,1.0,1.0,1268.14,1469.0,0
108,DUR-480,1314.95,0.9282,1.0,1.0,1220.54,1317.0,0
109,DUR-480,1314.18,0.8936,1.0,1.0,1174.37,1034.0,0
110,DUR-480,1313.41,0.8606,1.0,1.7955,2029.42,2156.0,0
111,DUR-480,1312.64,0.8296,1.0,0.85,925.6,801.0,0
112,DUR-480,1311.87,0.8011,1.0,1.0,1050.89,1079.0,0
113,DUR-480,1311.1,0.7754,1.0,1.0,1016.69,1078.0,0
114,DUR-480,1310.33,0.7531,1.0,1.0,986.82,1017.0,0
115,DUR-480,1309.57,0.7344,1.0,1.0,961.7,1034.0,0
116,DUR-480,1308.8,0.7195,1.0,1.0,941.68,825.0,0
117,DUR-480,1308.03,0.7087,1.0,1.6774,1555.01,1669.0,0
118,DUR-480,1307.27,0.7022,1.0,0.85,780.25,874.0,0
119,DUR-480,1306.5,0.7,1.0,1.0,914.55,889.0,0
120,DUR-480,1305.74,0.7022,1.0,1.0,916.87,905.0,0
121,DUR-480,1304.97,0.7087,1.0,1.0,924.86,925.0,0
122,DUR-480,1304.21,0.7195,1.0,1.6096,1510.4,1437.0,0
123,DUR-480,1303.44,0.7344,1.0,0.85,813.62,660.0,0
124,DUR-480,1302.68,0.7531,1.0,1.0,981.06,1031.0,0
125,DUR-480,1301.92,0.7754,1.0,1.0,1009.57,1066.0,0
126,DUR-480,1301.16,0.8011,1.0,1.0,1042.31,914.0,0
127,DUR-480,1300.39,0.8296,1.0,1.0,1078.78,1315.0,0
128,DUR-480,1299.63,0.8606,1.0,1.0,1118.44,1136.0,0
129,DUR-480,1298.87,0.8936,1.0,1.0,1160.7,1259.0,0
130,DUR-480,1298.11,0.9282,1.0,1.0,1204.91,1291.0,0
131,DUR-480,1297.35,0.9638,1.0,1.0,1250.44,1423.0,0
132,DUR-480,1296.59,1.0,1.0,1.0,1296.59,1534.0,0
133,DUR-480,1295.83,1.0362,1.28,1.0,1718.64,1762.0,0
134,DUR-480,1295.07,1.0718,0.92,1.5733,2009.08,1688.0,0
135,DUR-480,1294.31,1.1064,1.0,0.85,1217.2,1182.0,0
136,DUR-480,1293.56,1.1394,1.0,1.0,1473.9,1624.0,0
137,DUR-480,1292.8,1.1704,1.0,1.0,1513.12,1380.0,0
138,DUR-480,1292.04,1.1989,1.0,1.0,1549.08,1917.0,0
139,DUR-480,1291.29,1.2246,1.0,1.8319,2896.7,3189.0,1
140,DUR-480,1290.53,1.2469,1.0,0.85,1367.78,1633.0,0
141,DUR-480,1289.77,1.2656,1.0,1.0,1632.38,1669.0,0
142,DUR-480,1289.02,1.2805,1.0,1.0,1650.59,1586.0,0
143,DUR-480,1288.26,1.2913,1.0,1.0,1663.51,2043.0,0
144,DUR-480,1287.51,1.2978,1.0,1.7684,2954.97,2679.0,1
145,DUR-480,1286.76,1.3,1.0,0.85,1421.86,1292.0,0
146,DUR-480,1286.0,1.2978,1.0,1.0,1668.99,1939.0,0
147,DUR-480,1285.25,1.2913,1.0,1.8158,3013.51,3000.0,1
148,DUR-480,1284.5,1.2805,1.0,0.85,1398.08,1304.0,0
149,DUR-480,1283.74,1.2656,1.0,1.0,1624.75,1249.0,0
150,DUR-480,1282.99,1.2469,1.0,1.0,1599.76,1788.0,0
151,DUR-480,1282.24,1.2246,1.0,1.0,1570.17,1590.0,0
152,DUR-480,1281.49,1.1989,1.0,1.0,1536.43,1398.0,1
153,DUR-480,1280.74,1.1704,1.0,1.0,1499.0,2065.0,1
154,DUR-480,1279.99,1.1394,1.0,1.0,1458.44,2462.0,1
155,DUR-480,1279.24,1.1064,1.0,1.0,1415.33,1910.0,0
156,DUR-480,1278.49,1.0718,1.0,1.0,1370.28,1244.0,0
157,DUR-480,1277.74,1.0362,1.0,1.0,1323.95,1352.0,0
158,DUR-480,1276.99,1.0,1.0,1.0,1276.99,1228.0,0
159,DUR-480,1276.25,0.9638,1.0,1.0,1230.1,1523.0,0
160,DUR-480,1275.5,0.9282,1.0,1.0,1183.92,993.0,0
161,DUR-480,1274.75,0.8936,1.0,1.0,1139.14,991.0,0
162,DUR-480,1274.01,0.8606,1.0,1.0,1096.39,1203.0,0
163,DUR-480,1273.26,0.8296,1.0,1.0,1056.27,1162.0,0
164,DUR-480,1272.51,0.8011,1.0,1.0,1019.36,832.0,0
165,DUR-480,1271.77,0.7754,1.0,1.0,986.19,1011.0,0
166,DUR-480,1271.02,0.7531,1.0,1.0,957.21,1066.0,0
167,DUR-480,1270.28,0.7344,1.0,1.0,932.85,1019.0,0
168,DUR-480,1269.54,0.7195,1.0,1.0,913.42,1239.0,0
169,DUR-480,1268.79,0.7087,1.0,1.0,899.22,743.0,0
170,DUR-480,1268.05,0.7022,1.0,1.0,890.41,941.0,0
171,DUR-480,1267.31,0.7,1.0,1.0,887.11,770.0,0
172,DUR-480,1266.56,0.7022,1.0,1.6918,1504.61,1221.0,0
173,DUR-480,1265.82,0.7087,1.0,0.85,762.54,924.0,0
174,DUR-480,1265.08,0.7195,1.0,1.0,910.22,838.0,0
175,DUR-480,1264.34,0.7344,1.0,1.0,928.49,772.0,0
176,DUR-480,1263.6,0.7531,1.0,1.0,951.62,714.0,0
177,DUR-480,1262.86,0.7754,1.0,1.6092,1575.81,1711.0,0
178,DUR-480,1262.12,0.8011,1.0,0.85,859.38,906.0,0
179,DUR-480,1261.38,0.8296,1.0,1.0,1046.42,985.0,0
180,DUR-480,1260.64,0.8606,1.0,1.0,1084.89,1069.0,0
181,DUR-480,1259.91,0.8936,1.0,1.0,1125.87,1027.0,0
182,DUR-480,1259.17,0.9282,1.0,1.866,2180.91,2192.0,1
1,DUR-820,620.0,1.0362,1.0,1.0,642.42,610.0,0
2,DUR-820,617.2,1.0,1.0,1.0,617.2,562.0,0
3,DUR-820,614.4,0.9638,1.0,1.0,592.19,644.0,0
4,DUR-820,611.63,0.9282,1.0,1.0,567.71,551.0,0
5,DUR-820,608.86,0.8936,1.0,1.0,544.09,713.0,0
6,DUR-820,606.11,0.8606,1.0,1.0,521.6,500.0,0
7,DUR-820,603.36,0.8296,1.0,1.0,500.54,469.0,0
8,DUR-820,600.64,0.8011,1.0,1.0,481.15,445.0,0
9,DUR-820,597.92,0.7754,1.0,1.6746,776.42,765.0,0
10,DUR-820,595.21,0.7531,1.0,0.85,381.02,337.0,0
11,DUR-820,592.52,0.7344,1.0,1.0,435.13,456.0,0
12,DUR-820,589.84,0.7195,1.0,1.0,424.39,399.0,0
13,DUR-820,587.17,0.7087,1.0,1.0,416.14,359.0,0
14,DUR-820,584.52,0.7022,1.0,1.0,410.44,404.0,0
15,DUR-820,581.88,0.7,1.0,1.0,407.31,396.0,0
16,DUR-820,579.24,0.7022,1.0,1.0,406.74,384.0,0
17,DUR-820,576.62,0.7087,1.0,1.0,408.66,368.0,0
18,DUR-820,574.02,0.7195,1.0,1.0,413.0,397.0,0
19,DUR-820,571.42,0.7344,1.0,1.0,419.63,379.0,0
20,DUR-820,568.83,0.7531,1.0,1.0,428.39,427.0,0
21,DUR-820,566.26,0.7754,1.0,1.0,439.11,422.0,0
22,DUR-820,563.7,0.8011,1.0,1.0,451.56,538.0,0
23,DUR-820,561.15,0.8296,1.0,1.0,465.52,474.0,0
24,DUR-820,558.61,0.8606,1.0,1.0,480.73,496.0,0
25,DUR-820,556.09,0.8936,1.0,1.0,496.93,452.0,0
26,DUR-820,553.57,0.9282,1.0,1.0,513.83,504.0,0
27,DUR-820,551.07,0.9638,1.0,1.0,531.14,668.0,0
28,DUR-820,548.58,1.0,1.0,1.0,548.58,650.0,0
29,DUR-820,546.09,1.0362,1.28,1.0,724.28,662.0,0
30,DUR-820,543.62,1.0718,0.92,1.0,536.04,477.0,0
31,DUR-820,541.17,1.1064,1.0,1.0,598.74,597.0,0
32,DUR-820,538.72,1.1394,1.0,1.0,613.82,617.0,0
33,DUR-820,536.28,1.1704,1.0,1.0,627.67,592.0,0
34,DUR-820,533.86,1.1989,1.0,1.0,640.06,462.0,0
35,DUR-820,531.44,1.2246,1.0,1.0,650.78,712.0,0
36,DUR-820,529.04,1.2469,1.0,1.0,659.65,653.0,0
37,DUR-820,526.65,1.2656,1.0,1.0,666.54,564.0,0
38,DUR-820,524.26,1.2805,1.0,1.0,671.32,535.0,0
39,DUR-820,521.89,1.2913,1.0,1.0,673.91,722.0,0
40,DUR-820,519.53,1.2978,1.0,1.0,674.25,681.0,0
41,DUR-820,517.18,1.3,1.0,1.0,672.34,698.0,0
42,DUR-820,514.84,1.2978,1.0,1.0,668.17,687.0,0
43,DUR-820,512.51,1.2913,1.0,1.0,661.8,769.0,0
44,DUR-820,510.2,1.2805,1.0,1.5195,992.71,965.0,1
45,DUR-820,507.89,1.2656,1.0,0.85,546.38,559.0,0
46,DUR-820,505.59,1.2469,1.0,1.0,630.42,695.0,0
47,DUR-820,503.3,1.2246,1.0,1.0,616.32,458.0,0
48,DUR-820,501.03,1.1989,1.0,1.0,600.7,607.0,1
49,DUR-820,498.76,1.1704,1.0,1.0,583.76,990.0,1
50,DUR-820,496.51,1.1394,1.0,1.0,565.73,1160.0,1
51,DUR-820,494.26,1.1064,1.0,1.7151,937.87,811.0,0
52,DUR-820,492.03,1.0718,1.0,0.85,448.25,504.0,0
53,DUR-820,489.8,1.0362,1.0,1.0,507.51,459.0,0
54,DUR-820,487.58,1.0,1.0,1.0,487.58,426.0,0
55,DUR-820,485.38,0.9638,1.0,1.0,467.83,433.0,0
56,DUR-820,483.18,0.9282,1.0,1.0,448.49,441.0,0
57,DUR-820,481.0,0.8936,1.0,1.7127,736.18,754.0,0
58,DUR-820,478.82,0.8606,1.0,0.85,350.26,322.0,0
59,DUR-820,476.66,0.8296,1.0,1.0,395.43,399.0,0
60,DUR-820,474.5,0.8011,1.0,1.0,380.11,373.0,0
61,DUR-820,472.36,0.7754,1.0,1.0,366.29,487.0,0
62,DUR-820,470.22,0.7531,1.0,1.8188,644.06,616.0,0
63,DUR-820,468.09,0.7344,1.0,0.85,292.19,255.0,0
64,DUR-820,465.98,0.7195,1.0,1.0,335.27,354.0,0
65,DUR-820,463.87,0.7087,1.0,1.0,328.75,331.0,0
66,DUR-820,461.77,0.7022,1.0,1.0,324.25,326.0,0
67,DUR-820,459.68,0.7,1.0,1.0,321.78,270.0,0
68,DUR-820,457.6,0.7022,1.0,1.0,321.32,345.0,0
69,DUR-820,455.53,0.7087,1.0,1.0,322.84,420.0,0
70,DUR-820,453.47,0.7195,1.0,1.0,326.27,292.0,0
71,DUR-820,451.42,0.7344,1.0,1.0,331.51,436.0,0
72,DUR-820,449.38,0.7531,1.0,1.0,338.43,379.0,0
73,DUR-820,447.35,0.7754,1.0,1.7981,623.76,461.0,0
74,DUR-820,445.32,0.8011,1.0,0.85,303.22,342.0,0
75,DUR-820,443.31,0.8296,1.0,1.0,367.76,386.0,0
76,DUR-820,441.3,0.8606,1.0,1.0,379.78,378.0,0
77,DUR-820,439.31,0.8936,1.0,1.0,392.57,386.0,0
78,DUR-820,437.32,0.9282,1.0,1.0,405.92,344.0,0
79,DUR-820,435.34,0.9638,1.0,1.0,419.6,476.0,0
80,DUR-820,433.37,1.0,1.0,1.0,433.37,500.0,0
81,DUR-820,431.41,1.0362,1.28,1.0,572.18,661.0,0
82,DUR-820,429.46,1.0718,0.92,1.0,423.47,631.0,0
83,DUR-820,427.52,1.1064,1.0,1.0,473.0,581.0,0
84,DUR-820,425.59,1.1394,1.0,1.0,484.92,415.0,0
85,DUR-820,423.66,1.1704,1.0,1.0,495.86,516.0,0
86,DUR-820,421.75,1.1989,1.0,1.0,505.65,559.0,0
87,DUR-820,419.84,1.2246,1.0,1.0,514.12,557.0,0
88,DUR-820,417.94,1.2469,1.0,1.0,521.13,579.0,0
89,DUR-820,416.05,1.2656,1.0,1.0,526.57,399.0,0
90,DUR-820,414.17,1.2805,1.0,1.4692,779.2,962.0,1
91,DUR-820,412.29,1.2913,1.0,0.85,452.53,447.0,0
92,DUR-820,410.43,1.2978,1.0,1.0,532.66,518.0,0
93,DUR-820,408.57,1.3,1.0,1.0,531.15,614.0,0
94,DUR-820,406.73,1.2978,1.0,1.0,527.85,573.0,0
95,DUR-820,404.89,1.2913,1.0,1.7334,906.27,809.0,1
96,DUR-820,403.05,1.2805,1.0,0.85,438.7,465.0,0
97,DUR-820,401.23,1.2656,1.0,1.0,507.81,528.0,0
98,DUR-820,399.42,1.2469,1.0,1.0,498.03,588.0,0
99,DUR-820,397.61,1.2246,1.0,1.4922,726.55,677.0,0
100,DUR-820,395.81,1.1989,1.0,0.85,403.37,385.0,1
101,DUR-820,394.02,1.1704,1.0,1.0,461.17,717.0,1
102,DUR-820,392.24,1.1394,1.0,1.5029,671.7,1019.0,1
103,DUR-820,390.47,1.1064,1.0,0.85,367.2,354.0,0
104,DUR-820,388.7,1.0718,1.0,1.0,416.61,376.0,0
105,DUR-820,386.94,1.0362,1.0,1.0,400.93,339.0,0
106,DUR-820,385.19,1.0,1.0,1.0,385.19,392.0,0
107,DUR-820,383.45,0.9638,1.0,1.0,369.58,430.0,0
108,DUR-820,381.72,0.9282,1.0,1.0,354.31,310.0,0
109,DUR-820,379.99,0.8936,1.0,1.0,339.57,316.0,0
110,DUR-820,378.27,0.8606,1.0,1.0,325.53,389.0,0
111,DUR-820,376.56,0.8296,1.0,1.0,312.39,336.0,0
112,DUR-820,374.86,0.8011,1.0,1.0,300.28,318.0,0
113,DUR-820,373.16,0.7754,1.0,1.0,289.37,303.0,0
114,DUR-820,371.47,0.7531,1.0,1.0,279.76,310.0,0
115,DUR-820,369.79,0.7344,1.0,1.0,271.56,304.0,0
116,DUR-820,368.12,0.7195,1.0,1.0,264.86,245.0,0
117,DUR-820,366.46,0.7087,1.0,1.0,259.71,278.0,0
118,DUR-820,364.8,0.7022,1.0,1.8319,469.26,494.0,0
119,DUR-820,363.15,0.7,1.0,0.85,216.07,208.0,0
120,DUR-820,361.51,0.7022,1.0,1.0,253.84,197.0,0
121,DUR-820,359.87,0.7087,1.0,1.0,255.05,239.0,0
122,DUR-820,358.24,0.7195,1.0,1.0,257.75,279.0,0
123,DUR-820,356.62,0.7344,1.0,1.0,261.89,211.0,0
124,DUR-820,355.01,0.7531,1.0,1.0,267.36,241.0,0
125,DUR-820,353.4,0.7754,1.0,1.0,274.05,274.0,0
126,DUR-820,351.81,0.8011,1.0,1.7932,505.36,447.0,0
127,DUR-820,350.21,0.8296,1.0,0.85,246.95,214.0,0
128,DUR-820,348.63,0.8606,1.0,1.0,300.03,326.0,0
129,DUR-820,347.05,0.8936,1.0,1.0,310.13,354.0,0
130,DUR-820,345.48,0.9282,1.0,1.0,320.68,335.0,0
131,DUR-820,343.92,0.9638,1.0,1.0,331.49,316.0,0
132,DUR-820,342.37,1.0,1.0,1.0,342.37,389.0,0
133,DUR-820,340.82,1.0362,1.28,1.0,452.02,495.0,0
134,DUR-820,339.28,1.0718,0.92,1.0,334.54,372.0,0
135,DUR-820,337.74,1.1064,1.0,1.0,373.67,366.0,0
136,DUR-820,336.21,1.1394,1.0,1.0,383.09,321.0,0
137,DUR-820,334.69,1.1704,1.0,1.0,391.73,431.0,0
138,DUR-820,333.18,1.1989,1.0,1.0,399.46,380.0,0
139,DUR-820,331.67,1.2246,1.0,1.0,406.15,373.0,0
140,DUR-820,330.17,1.2469,1.0,1.0,411.69,504.0,0
141,DUR-820,328.68,1.2656,1.0,1.0,415.99,411.0,0
142,DUR-820,327.19,1.2805,1.0,1.8695,783.28,821.0,1
143,DUR-820,325.71,1.2913,1.0,0.85,357.5,387.0,0
144,DUR-820,324.24,1.2978,1.0,1.0,420.8,404.0,0
145,DUR-820,322.77,1.3,1.0,1.0,419.61,443.0,0
146,DUR-820,321.31,1.2978,1.0,1.0,417.0,440.0,0
147,DUR-820,319.86,1.2913,1.0,1.0,413.03,326.0,0
148,DUR-820,318.41,1.2805,1.0,1.0,407.73,427.0,0
149,DUR-820,316.97,1.2656,1.0,1.0,401.17,349.0,0
150,DUR-820,315.54,1.2469,1.0,1.0,393.44,383.0,0
151,DUR-820,314.11,1.2246,1.0,1.0,384.65,350.0,0
152,DUR-820,312.69,1.1989,1.0,1.0,374.9,428.0,1
153,DUR-820,311.28,1.1704,1.0,1.0,364.33,649.0,1
154,DUR-820,309.87,1.1394,1.0,1.0,353.07,738.0,1
155,DUR-820,308.47,1.1064,1.0,1.0,341.28,314.0,0
156,DUR-820,307.07,1.0718,1.0,1.0,329.12,373.0,0
157,DUR-820,305.68,1.0362,1.0,1.0,316.74,374.0,0
158,DUR-820,304.3,1.0,1.0,1.0,304.3,332.0,0
159,DUR-820,302.93,0.9638,1.0,1.0,291.97,266.0,0
160,DUR-820,301.56,0.9282,1.0,1.0,279.91,272.0,0
161,DUR-820,300.19,0.8936,1.0,1.0,268.26,208.0,0
162,DUR-820,298.83,0.8606,1.0,1.0,257.17,229.0,0
163,DUR-820,297.48,0.8296,1.0,1.6412,405.02,456.0,0
164,DUR-820,296.14,0.8011,1.0,0.85,201.64,212.0,0
165,DUR-820,294.8,0.7754,1.0,1.0,228.6,235.0,0
166,DUR-820,293.46,0.7531,1.0,1.0,221.01,228.0,0
167,DUR-820,292.14,0.7344,1.0,1.0,214.53,199.0,0
168,DUR-820,290.82,0.7195,1.0,1.0,209.24,233.0,0
169,DUR-820,289.5,0.7087,1.0,1.0,205.17,186.0,0
170,DUR-820,288.19,0.7022,1.0,1.0,202.36,158.0,0
171,DUR-820,286.89,0.7,1.0,1.0,200.82,212.0,0
172,DUR-820,285.59,0.7022,1.0,1.0,200.54,166.0,0
173,DUR-820,284.3,0.7087,1.0,1.0,201.49,191.0,0
174,DUR-820,283.01,0.7195,1.0,1.0,203.63,212.0,0
175,DUR-820,281.73,0.7344,1.0,1.0,206.89,160.0,0
176,DUR-820,280.46,0.7531,1.0,1.0,211.21,218.0,0
177,DUR-820,279.19,0.7754,1.0,1.0,216.5,205.0,0
178,DUR-820,277.93,0.8011,1.0,1.0,222.64,271.0,0
179,DUR-820,276.67,0.8296,1.0,1.0,229.52,245.0,0
180,DUR-820,275.42,0.8606,1.0,1.0,237.02,263.0,0
181,DUR-820,274.17,0.8936,1.0,1.0,245.01,194.0,0
182,DUR-820,272.93,0.9282,1.0,1.0,253.34,230.0,0
1,TOM-480,2100.0,0.9735,1.0,1.6941,3463.19,3556.0,1
2,TOM-480,2102.35,1.0,1.0,0.85,1787.0,1996.0,0
3,TOM-480,2104.71,1.0265,1.0,1.0,2160.52,1748.0,0
4,TOM-480,2107.07,1.0526,1.0,1.0,2218.01,2258.0,0
5,TOM-480,2109.43,1.078,1.2,1.0,2728.8,2376.0,0
6,TOM-480,2111.8,1.1022,1.0,1.0,2327.71,2619.0,0
7,TOM-480,2114.17,1.125,1.0,1.4754,3509.01,3771.0,1
8,TOM-480,2116.54,1.1459,1.0,0.85,2061.52,1822.0,0
9,TOM-480,2118.91,1.1647,1.0,1.0,2467.84,2288.0,0
10,TOM-480,2121.29,1.1811,1.0,1.0,2505.36,2059.0,0
11,TOM-480,2123.66,1.1948,1.0,1.0,2537.35,2822.0,0
12,TOM-480,2126.05,1.2057,1.0,1.0,2563.38,3148.0,0
13,TOM-480,2128.43,1.2136,1.0,1.0,2583.08,3100.0,0
14,TOM-480,2130.82,1.2184,1.0,1.7492,4541.15,5973.0,1
15,TOM-480,2133.2,1.22,1.0,0.85,2212.13,2685.0,0
16,TOM-480,2135.6,1.2184,1.0,1.0,2602.0,2434.0,0
17,TOM-480,2137.99,1.2136,1.0,1.0,2594.68,2632.0,0
18,TOM-480,2140.39,1.2057,1.0,1.0,2580.67,3155.0,0
