t,semana,iso_anio,iso_semana,fiestas_patrias,post_fiestas,semana_santa,planta_cerrada
92,2024-12-02,2024,49,0,0,0,0
93,2024-12-09,2024,50,0,0,0,0
94,2024-12-16,2024,51,0,0,0,0
95,2024-12-23,2024,52,0,0,0,0
96,2024-12-30,2025,1,0,0,0,0
97,2025-01-06,2025,2,0,0,0,0
98,2025-01-13,2025,3,0,0,0,0
99,2025-01-20,2025,4,0,0,0,0
100,2025-01-27,2025,5,0,0,0,1
101,2025-02-03,2025,6,0,0,0,1
102,2025-02-10,2025,7,0,0,0,0
103,2025-02-17,2025,8,0,0,0,0
104,2025-02-24,2025,9,0,0,0,0
105,2025-03-03,2025,10,0,0,0,0
106,2025-03-10,2025,11,0,0,0,0
107,2025-03-17,2025,12,0,0,0,0
108,2025-03-24,2025,13,0,0,0,0
109,2025-03-31,2025,14,0,0,0,0
110,2025-04-07,2025,15,0,0,0,0
111,2025-04-14,2025,16,0,0,1,0
112,2025-04-21,2025,17,0,0,0,0
113,2025-04-28,2025,18,0,0,0,0
114,2025-05-05,2025,19,0,0,0,0
115,2025-05-12,2025,20,0,0,0,0
116,2025-05-19,2025,21,0,0,0,0
117,2025-05-26,2025,22,0,0,0,0
118,2025-06-02,2025,23,0,0,0,0
119,2025-06-09,2025,24,0,0,0,0
120,2025-06-16,2025,25,0,0,0,0
121,2025-06-23,2025,26,0,0,0,0
122,2025-06-30,2025,27,0,0,0,0
123,2025-07-07,2025,28,0,0,0,0
124,2025-07-14,2025,29,0,0,0,0
125,2025-07-21,2025,30,0,0,0,0
126,2025-07-28,2025,31,0,0,0,0
127,2025-08-04,2025,32,0,0,0,0
128,2025-08-11,2025,33,0,0,0,0
129,2025-08-18,2025,34,0,0,0,0
130,2025-08-25,2025,35,0,0,0,0
131,2025-09-01,2025,36,0,0,0,0
132,2025-09-08,2025,37,0,0,0,0
133,2025-09-15,2025,38,1,0,0,0
134,2025-09-22,2025,39,0,1,0,0
135,2025-09-29,2025,40,0,0,0,0
136,2025-10-06,2025,41,0,0,0,0
137,2025-10-13,2025,42,0,0,0,0
138,2025-10-20,2025,43,0,0,0,0
139,2025-10-27,2025,44,0,0,0,0
140,2025-11-03,2025,45,0,0,0,0
141,2025-11-10,2025,46,0,0,0,0
142,2025-11-17,2025,47,0,0,0,0
143,2025-11-24,2025,48,0,0,0,0
144,2025-12-01,2025,49,0,0,0,0
145,2025-12-08,2025,50,0,0,0,0
146,2025-12-15,2025,51,0,0,0,0
147,2025-12-22,2025,52,0,0,0,0
148,2025-12-29,2026,1,0,0,0,0
149,2026-01-05,2026,2,0,0,0,0
150,2026-01-12,2026,3,0,0,0,0
151,2026-01-19,2026,4,0,0,0,0
152,2026-01-26,2026,5,0,0,0,1
153,2026-02-02,2026,6,0,0,0,1
154,2026-02-09,2026,7,0,0,0,0
155,2026-02-16,2026,8,0,0,0,0
156,2026-02-23,2026,9,0,0,0,0
157,2026-03-02,2026,10,0,0,0,0
158,2026-03-09,2026,11,0,0,0,0
159,2026-03-16,2026,12,0,0,0,0
160,2026-03-23,2026,13,0,0,0,0
161,2026-03-30,2026,14,0,0,1,0
162,2026-04-06,2026,15,0,0,0,0
163,2026-04-13,2026,16,0,0,0,0
164,2026-04-20,2026,17,0,0,0,0
165,2026-04-27,2026,18,0,0,0,0
166,2026-05-04,2026,19,0,0,0,0
167,2026-05-11,2026,20,0,0,0,0
168,2026-05-18,2026,21,0,0,0,0
169,2026-05-25,2026,22,0,0,0,0
170,2026-06-01,2026,23,0,0,0,0
171,2026-06-08,2026,24,0,0,0,0
172,2026-06-15,2026,25,0,0,0,0
173,2026-06-22,2026,26,0,0,0,0
174,2026-06-29,2026,27,0,0,0,0
175,2026-07-06,2026,28,0,0,0,0
176,2026-07-13,2026,29,0,0,0,0
177,2026-07-20,2026,30,0,0,0,0
178,2026-07-27,2026,31,0,0,0,0
179,2026-08-03,2026,32,0,0,0,0
180,2026-08-10,2026,33,0,0,0,0
181,2026-08-17,2026,34,0,0,0,0
182,2026-08-24,2026,35,0,0,0,0
