secuencia,tardanza,makespan
B-D-A-E-F-C,14.0,20.0
B-D-A-F-C-E,17.0,20.0
B-D-A-F-E-C,14.0,20.0
B-D-C-A-E-F,14.0,20.0
B-D-C-A-F-E,16.0,20.0
B-D-C-E-A-F,15.0,20.0
B-D-C-E-F-A,15.0,20.0
B-D-C-F-A-E,18.0,20.0
B-D-C-F-E-A,16.0,20.0
B-D-E-A-C-F,16.0,20.0
B-D-E-A-F-C,16.0,20.0
B-D-E-C-A-F,17.0,20.0
B-D-E-C-F-A,17.0,20.0
B-D-E-F-A-C,20.0,20.0
B-D-E-F-C-A,21.0,20.0
B-D-F-A-C-E,21.0,20.0
B-D-F-A-E-C,18.0,20.0
B-D-F-C-A-E,22.0,20.0
B-D-F-C-E-A,20.0,20.0
B-D-F-E-A-C,20.0,20.0
B-D-F-E-C-A,21.0,20.0
B-E-A-C-D-F,19.0,20.0
B-E-A-C-F-D,20.0,20.0
B-E-A-D-C-F,17.0,20.0
B-E-A-D-F-C,17.0,20.0
B-E-A-F-C-D,23.0,20.0
B-E-A-F-D-C,21.0,20.0
B-E-C-A-D-F,20.0,20.0
B-E-C-A-F-D,21.0,20.0
B-E-C-D-A-F,19.0,20.0
B-E-C-D-F-A,19.0,20.0
B-E-C-F-A-D,24.0,20.0
B-E-C-F-D-A,23.0,20.0
B-E-D-A-C-F,16.0,20.0
B-E-D-A-F-C,16.0,20.0
B-E-D-C-A-F,17.0,20.0
B-E-D-C-F-A,17.0,20.0
B-E-D-F-A-C,20.0,20.0
B-E-D-F-C-A,21.0,20.0
B-E-F-A-C-D,27.0,20.0
B-E-F-A-D-C,25.0,20.0
B-E-F-C-A-D,28.0,20.0
B-E-F-C-D-A,27.0,20.0
B-E-F-D-A-C,24.0,20.0
B-E-F-D-C-A,25.0,20.0
B-F-A-C-D-E,26.0,20.0
B-F-A-C-E-D,25.0,20.0
B-F-A-D-C-E,24.0,20.0
B-F-A-D-E-C,21.0,20.0
B-F-A-E-C-D,25.0,20.0
B-F-A-E-D-C,23.0,20.0
B-F-C-A-D-E,27.0,20.0
B-F-C-A-E-D,26.0,20.0
B-F-C-D-A-E,26.0,20.0
B-F-C-D-E-A,24.0,20.0
B-F-C-E-A-D,26.0,20.0
B-F-C-E-D-A,25.0,20.0
B-F-D-A-C-E,23.0,20.0
B-F-D-A-E-C,20.0,20.0
B-F-D-C-A-E,24.0,20.0
B-F-D-C-E-A,22.0,20.0
B-F-D-E-A-C,22.0,20.0
B-F-D-E-C-A,23.0,20.0
B-F-E-A-C-D,27.0,20.0
B-F-E-A-D-C,25.0,20.0
B-F-E-C-A-D,28.0,20.0
B-F-E-C-D-A,27.0,20.0
B-F-E-D-A-C,24.0,20.0
B-F-E-D-C-A,25.0,20.0
C-A-B-D-E-F,22.0,20.0
C-A-B-D-F-E,24.0,20.0
C-A-B-E-D-F,23.0,20.0
C-A-B-E-F-D,24.0,20.0
C-A-B-F-D-E,26.0,20.0
C-A-B-F-E-D,25.0,20.0
C-A-D-B-E-F,23.0,20.0
C-A-D-B-F-E,25.0,20.0
C-A-D-E-B-F,24.0,20.0
C-A-D-E-F-B,26.0,20.0
C-A-D-F-B-E,27.0,20.0
C-A-D-F-E-B,27.0,20.0
C-A-E-B-D-F,25.0,20.0
C-A-E-B-F-D,26.0,20.0
C-A-E-D-B-F,26.0,20.0
C-A-E-D-F-B,28.0,20.0
C-A-E-F-B-D,29.0,20.0
C-A-E-F-D-B,30.0,20.0
C-A-F-B-D-E,30.0,20.0
C-A-F-B-E-D,29.0,20.0
C-A-F-D-B-E,31.0,20.0
C-A-F-D-E-B,31.0,20.0
C-A-F-E-B-D,29.0,20.0
C-A-F-E-D-B,30.0,20.0
C-B-A-D-E-F,20.0,20.0
C-B-A-D-F-E,22.0,20.0
C-B-A-E-D-F,21.0,20.0
C-B-A-E-F-D,22.0,20.0
C-B-A-F-D-E,24.0,20.0
C-B-A-F-E-D,23.0,20.0
C-B-D-A-E-F,19.0,20.0
C-B-D-A-F-E,21.0,20.0
C-B-D-E-A-F,20.0,20.0
C-B-D-E-F-A,20.0,20.0
C-B-D-F-A-E,23.0,20.0
C-B-D-F-E-A,21.0,20.0
C-B-E-A-D-F,23.0,20.0
C-B-E-A-F-D,24.0,20.0
C-B-E-D-A-F,22.0,20.0
C-B-E-D-F-A,22.0,20.0
C-B-E-F-A-D,27.0,20.0
C-B-E-F-D-A,26.0,20.0
C-B-F-A-D-E,28.0,20.0
C-B-F-A-E-D,27.0,20.0
C-B-F-D-A-E,27.0,20.0
C-B-F-D-E-A,25.0,20.0
C-B-F-E-A-D,27.0,20.0
C-B-F-E-D-A,26.0,20.0
C-D-A-B-E-F,22.0,20.0
C-D-A-B-F-E,24.0,20.0
C-D-A-E-B-F,23.0,20.0
C-D-A-E-F-B,25.0,20.0
C-D-A-F-B-E,26.0,20.0
C-D-A-F-E-B,26.0,20.0
C-D-B-A-E-F,20.0,20.0
C-D-B-A-F-E,22.0,20.0
C-D-B-E-A-F,21.0,20.0
C-D-B-E-F-A,21.0,20.0
C-D-B-F-A-E,24.0,20.0
C-D-B-F-E-A,22.0,20.0
C-D-E-A-B-F,25.0,20.0
C-D-E-A-F-B,27.0,20.0
C-D-E-B-A-F,23.0,20.0
C-D-E-B-F-A,23.0,20.0
C-D-E-F-A-B,29.0,20.0
C-D-E-F-B-A,27.0,20.0
C-D-F-A-B-E,30.0,20.0
C-D-F-A-E-B,30.0,20.0
C-D-F-B-A-E,28.0,20.0
C-D-F-B-E-A,26.0,20.0
C-D-F-E-A-B,29.0,20.0
C-D-F-E-B-A,27.0,20.0
C-E-A-B-D-F,27.0,20.0
C-E-A-B-F-D,28.0,20.0
C-E-A-D-B-F,28.0,20.0
C-E-A-D-F-B,30.0,20.0
C-E-A-F-B-D,31.0,20.0
C-E-A-F-D-B,32.0,20.0
C-E-B-A-D-F,25.0,20.0
C-E-B-A-F-D,26.0,20.0
C-E-B-D-A-F,24.0,20.0
C-E-B-D-F-A,24.0,20.0
C-E-B-F-A-D,29.0,20.0
C-E-B-F-D-A,28.0,20.0
C-E-D-A-B-F,27.0,20.0
C-E-D-A-F-B,29.0,20.0
C-E-D-B-A-F,25.0,20.0
C-E-D-B-F-A,25.0,20.0
C-E-D-F-A-B,31.0,20.0
C-E-D-F-B-A,29.0,20.0
C-E-F-A-B-D,35.0,20.0
C-E-F-A-D-B,36.0,20.0
C-E-F-B-A-D,33.0,20.0
C-E-F-B-D-A,32.0,20.0
C-E-F-D-A-B,35.0,20.0
C-E-F-D-B-A,33.0,20.0
C-F-A-B-D-E,34.0,20.0
C-F-A-B-E-D,33.0,20.0
C-F-A-D-B-E,35.0,20.0
C-F-A-D-E-B,35.0,20.0
C-F-A-E-B-D,33.0,20.0
C-F-A-E-D-B,34.0,20.0
C-F-B-A-D-E,32.0,20.0
C-F-B-A-E-D,31.0,20.0
C-F-B-D-A-E,31.0,20.0
C-F-B-D-E-A,29.0,20.0
C-F-B-E-A-D,31.0,20.0
C-F-B-E-D-A,30.0,20.0
C-F-D-A-B-E,34.0,20.0
C-F-D-A-E-B,34.0,20.0
C-F-D-B-A-E,32.0,20.0
C-F-D-B-E-A,30.0,20.0
C-F-D-E-A-B,33.0,20.0
C-F-D-E-B-A,31.0,20.0
C-F-E-A-B-D,35.0,20.0
C-F-E-A-D-B,36.0,20.0
C-F-E-B-A-D,33.0,20.0
C-F-E-B-D-A,32.0,20.0
C-F-E-D-A-B,35.0,20.0
C-F-E-D-B-A,33.0,20.0
D-A-B-C-E-F,16.0,20.0
D-A-B-C-F-E,18.0,20.0
D-A-B-E-C-F,17.0,20.0
D-A-B-E-F-C,17.0,20.0
D-A-B-F-C-E,20.0,20.0
D-A-B-F-E-C,17.0,20.0
D-A-C-B-E-F,19.0,20.0
D-A-C-B-F-E,21.0,20.0
D-A-C-E-B-F,20.0,20.0
D-A-C-E-F-B,22.0,20.0
D-A-C-F-B-E,23.0,20.0
D-A-C-F-E-B,23.0,20.0
D-A-E-B-C-F,19.0,20.0
D-A-E-B-F-C,19.0,20.0
D-A-E-C-B-F,22.0,20.0
D-A-E-C-F-B,24.0,20.0
D-A-E-F-B-C,23.0,20.0
D-A-E-F-C-B,26.0,20.0
D-A-F-B-C-E,24.0,20.0
D-A-F-B-E-C,21.0,20.0
D-A-F-C-B-E,27.0,20.0
D-A-F-C-E-B,27.0,20.0
D-A-F-E-B-C,23.0,20.0
D-A-F-E-C-B,26.0,20.0
D-B-A-C-E-F,14.0,20.0
D-B-A-C-F-E,16.0,20.0
D-B-A-E-C-F,15.0,20.0
D-B-A-E-F-C,15.0,20.0
D-B-A-F-C-E,18.0,20.0
D-B-A-F-E-C,15.0,20.0
D-B-C-A-E-F,15.0,20.0
D-B-C-A-F-E,17.0,20.0
D-B-C-E-A-F,16.0,20.0
D-B-C-E-F-A,16.0,20.0
D-B-C-F-A-E,19.0,20.0
D-B-C-F-E-A,17.0,20.0
D-B-E-A-C-F,17.0,20.0
D-B-E-A-F-C,17.0,20.0
D-B-E-C-A-F,18.0,20.0
D-B-E-C-F-A,18.0,20.0
D-B-E-F-A-C,21.0,20.0
D-B-E-F-C-A,22.0,20.0
D-B-F-A-C-E,22.0,20.0
D-B-F-A-E-C,19.0,20.0
D-B-F-C-A-E,23.0,20.0
D-B-F-C-E-A,21.0,20.0
D-B-F-E-A-C,21.0,20.0
D-B-F-E-C-A,22.0,20.0
D-C-A-B-E-F,21.0,20.0
D-C-A-B-F-E,23.0,20.0
D-C-A-E-B-F,22.0,20.0
D-C-A-E-F-B,24.0,20.0
D-C-A-F-B-E,25.0,20.0
D-C-A-F-E-B,25.0,20.0
D-C-B-A-E-F,19.0,20.0
D-C-B-A-F-E,21.0,20.0
D-C-B-E-A-F,20.0,20.0
D-C-B-E-F-A,20.0,20.0
D-C-B-F-A-E,23.0,20.0
D-C-B-F-E-A,21.0,20.0
D-C-E-A-B-F,24.0,20.0
D-C-E-A-F-B,26.0,20.0
D-C-E-B-A-F,22.0,20.0
D-C-E-B-F-A,22.0,20.0
D-C-E-F-A-B,28.0,20.0
D-C-E-F-B-A,26.0,20.0
D-C-F-A-B-E,29.0,20.0
D-C-F-A-E-B,29.0,20.0
D-C-F-B-A-E,27.0,20.0
D-C-F-B-E-A,25.0,20.0
D-C-F-E-A-B,28.0,20.0
D-C-F-E-B-A,26.0,20.0
D-E-A-B-C-F,21.0,20.0
D-E-A-B-F-C,21.0,20.0
D-E-A-C-B-F,24.0,20.0
D-E-A-C-F-B,26.0,20.0
D-E-A-F-B-C,25.0,20.0
D-E-A-F-C-B,28.0,20.0
D-E-B-A-C-F,19.0,20.0
D-E-B-A-F-C,19.0,20.0
D-E-B-C-A-F,20.0,20.0
D-E-B-C-F-A,20.0,20.0
D-E-B-F-A-C,23.0,20.0
D-E-B-F-C-A,24.0,20.0
D-E-C-A-B-F,25.0,20.0
D-E-C-A-F-B,27.0,20.0
D-E-C-B-A-F,23.0,20.0
D-E-C-B-F-A,23.0,20.0
D-E-C-F-A-B,29.0,20.0
D-E-C-F-B-A,27.0,20.0
D-E-F-A-B-C,29.0,20.0
D-E-F-A-C-B,32.0,20.0
D-E-F-B-A-C,27.0,20.0
D-E-F-B-C-A,28.0,20.0
D-E-F-C-A-B,33.0,20.0
D-E-F-C-B-A,31.0,20.0
D-F-A-B-C-E,28.0,20.0
D-F-A-B-E-C,25.0,20.0
D-F-A-C-B-E,31.0,20.0
D-F-A-C-E-B,31.0,20.0
D-F-A-E-B-C,27.0,20.0
D-F-A-E-C-B,30.0,20.0
D-F-B-A-C-E,26.0,20.0
D-F-B-A-E-C,23.0,20.0
D-F-B-C-A-E,27.0,20.0
D-F-B-C-E-A,25.0,20.0
D-F-B-E-A-C,25.0,20.0
D-F-B-E-C-A,26.0,20.0
D-F-C-A-B-E,32.0,20.0
D-F-C-A-E-B,32.0,20.0
D-F-C-B-A-E,30.0,20.0
D-F-C-B-E-A,28.0,20.0
D-F-C-E-A-B,31.0,20.0
D-F-C-E-B-A,29.0,20.0
D-F-E-A-B-C,29.0,20.0
D-F-E-A-C-B,32.0,20.0
D-F-E-B-A-C,27.0,20.0
D-F-E-B-C-A,28.0,20.0
D-F-E-C-A-B,33.0,20.0
D-F-E-C-B-A,31.0,20.0
E-A-B-C-D-F,21.0,20.0
E-A-B-C-F-D,22.0,20.0
E-A-B-D-C-F,19.0,20.0
E-A-B-D-F-C,19.0,20.0
E-A-B-F-C-D,25.0,20.0
E-A-B-F-D-C,23.0,20.0
E-A-C-B-D-F,24.0,20.0
E-A-C-B-F-D,25.0,20.0
E-A-C-D-B-F,25.0,20.0
E-A-C-D-F-B,27.0,20.0
E-A-C-F-B-D,28.0,20.0
E-A-C-F-D-B,29.0,20.0
E-A-D-B-C-F,20.0,20.0
E-A-D-B-F-C,20.0,20.0
E-A-D-C-B-F,23.0,20.0
E-A-D-C-F-B,25.0,20.0
E-A-D-F-B-C,24.0,20.0
E-A-D-F-C-B,27.0,20.0
E-A-F-B-C-D,29.0,20.0
E-A-F-B-D-C,27.0,20.0
E-A-F-C-B-D,32.0,20.0
E-A-F-C-D-B,33.0,20.0
E-A-F-D-B-C,28.0,20.0
E-A-F-D-C-B,31.0,20.0
E-B-A-C-D-F,19.0,20.0
E-B-A-C-F-D,20.0,20.0
E-B-A-D-C-F,17.0,20.0
E-B-A-D-F-C,17.0,20.0
E-B-A-F-C-D,23.0,20.0
E-B-A-F-D-C,21.0,20.0
E-B-C-A-D-F,20.0,20.0
E-B-C-A-F-D,21.0,20.0
E-B-C-D-A-F,19.0,20.0
E-B-C-D-F-A,19.0,20.0
E-B-C-F-A-D,24.0,20.0
E-B-C-F-D-A,23.0,20.0
E-B-D-A-C-F,16.0,20.0
E-B-D-A-F-C,16.0,20.0
E-B-D-C-A-F,17.0,20.0
E-B-D-C-F-A,17.0,20.0
E-B-D-F-A-C,20.0,20.0
E-B-D-F-C-A,21.0,20.0
E-B-F-A-C-D,27.0,20.0
E-B-F-A-D-C,25.0,20.0
E-B-F-C-A-D,28.0,20.0
E-B-F-C-D-A,27.0,20.0
E-B-F-D-A-C,24.0,20.0
E-B-F-D-C-A,25.0,20.0
E-C-A-B-D-F,27.0,20.0
E-C-A-B-F-D,28.0,20.0
E-C-A-D-B-F,28.0,20.0
E-C-A-D-F-B,30.0,20.0
E-C-A-F-B-D,31.0,20.0
E-C-A-F-D-B,32.0,20.0
E-C-B-A-D-F,25.0,20.0
E-C-B-A-F-D,26.0,20.0
E-C-B-D-A-F,24.0,20.0
E-C-B-D-F-A,24.0,20.0
E-C-B-F-A-D,29.0,20.0
E-C-B-F-D-A,28.0,20.0
E-C-D-A-B-F,27.0,20.0
E-C-D-A-F-B,29.0,20.0
E-C-D-B-A-F,25.0,20.0
E-C-D-B-F-A,25.0,20.0
E-C-D-F-A-B,31.0,20.0
E-C-D-F-B-A,29.0,20.0
E-C-F-A-B-D,35.0,20.0
E-C-F-A-D-B,36.0,20.0
E-C-F-B-A-D,33.0,20.0
E-C-F-B-D-A,32.0,20.0
E-C-F-D-A-B,35.0,20.0
E-C-F-D-B-A,33.0,20.0
E-D-A-B-C-F,21.0,20.0
E-D-A-B-F-C,21.0,20.0
E-D-A-C-B-F,24.0,20.0
E-D-A-C-F-B,26.0,20.0
E-D-A-F-B-C,25.0,20.0
E-D-A-F-C-B,28.0,20.0
E-D-B-A-C-F,19.0,20.0
E-D-B-A-F-C,19.0,20.0
E-D-B-C-A-F,20.0,20.0
E-D-B-C-F-A,20.0,20.0
E-D-B-F-A-C,23.0,20.0
E-D-B-F-C-A,24.0,20.0
E-D-C-A-B-F,25.0,20.0
E-D-C-A-F-B,27.0,20.0
E-D-C-B-A-F,23.0,20.0
E-D-C-B-F-A,23.0,20.0
E-D-C-F-A-B,29.0,20.0
E-D-C-F-B-A,27.0,20.0
E-D-F-A-B-C,29.0,20.0
E-D-F-A-C-B,32.0,20.0
E-D-F-B-A-C,27.0,20.0
E-D-F-B-C-A,28.0,20.0
E-D-F-C-A-B,33.0,20.0
E-D-F-C-B-A,31.0,20.0
E-F-A-B-C-D,33.0,20.0
E-F-A-B-D-C,31.0,20.0
E-F-A-C-B-D,36.0,20.0
E-F-A-C-D-B,37.0,20.0
E-F-A-D-B-C,32.0,20.0
E-F-A-D-C-B,35.0,20.0
E-F-B-A-C-D,31.0,20.0
E-F-B-A-D-C,29.0,20.0
E-F-B-C-A-D,32.0,20.0
E-F-B-C-D-A,31.0,20.0
E-F-B-D-A-C,28.0,20.0
E-F-B-D-C-A,29.0,20.0
E-F-C-A-B-D,37.0,20.0
E-F-C-A-D-B,38.0,20.0
E-F-C-B-A-D,35.0,20.0
E-F-C-B-D-A,34.0,20.0
E-F-C-D-A-B,37.0,20.0
E-F-C-D-B-A,35.0,20.0
E-F-D-A-B-C,31.0,20.0
E-F-D-A-C-B,34.0,20.0
E-F-D-B-A-C,29.0,20.0
E-F-D-B-C-A,30.0,20.0
E-F-D-C-A-B,35.0,20.0
E-F-D-C-B-A,33.0,20.0
F-A-B-C-D-E,30.0,20.0
F-A-B-C-E-D,29.0,20.0
F-A-B-D-C-E,28.0,20.0
F-A-B-D-E-C,25.0,20.0
F-A-B-E-C-D,29.0,20.0
F-A-B-E-D-C,27.0,20.0
F-A-C-B-D-E,33.0,20.0
F-A-C-B-E-D,32.0,20.0
F-A-C-D-B-E,34.0,20.0
F-A-C-D-E-B,34.0,20.0
F-A-C-E-B-D,32.0,20.0
F-A-C-E-D-B,33.0,20.0
F-A-D-B-C-E,29.0,20.0
F-A-D-B-E-C,26.0,20.0
F-A-D-C-B-E,32.0,20.0
F-A-D-C-E-B,32.0,20.0
F-A-D-E-B-C,28.0,20.0
F-A-D-E-C-B,31.0,20.0
F-A-E-B-C-D,31.0,20.0
F-A-E-B-D-C,29.0,20.0
F-A-E-C-B-D,34.0,20.0
F-A-E-C-D-B,35.0,20.0
F-A-E-D-B-C,30.0,20.0
F-A-E-D-C-B,33.0,20.0
F-B-A-C-D-E,28.0,20.0
F-B-A-C-E-D,27.0,20.0
F-B-A-D-C-E,26.0,20.0
F-B-A-D-E-C,23.0,20.0
F-B-A-E-C-D,27.0,20.0
F-B-A-E-D-C,25.0,20.0
F-B-C-A-D-E,29.0,20.0
F-B-C-A-E-D,28.0,20.0
F-B-C-D-A-E,28.0,20.0
F-B-C-D-E-A,26.0,20.0
F-B-C-E-A-D,28.0,20.0
F-B-C-E-D-A,27.0,20.0
F-B-D-A-C-E,25.0,20.0
F-B-D-A-E-C,22.0,20.0
F-B-D-C-A-E,26.0,20.0
F-B-D-C-E-A,24.0,20.0
F-B-D-E-A-C,24.0,20.0
F-B-D-E-C-A,25.0,20.0
F-B-E-A-C-D,29.0,20.0
F-B-E-A-D-C,27.0,20.0
F-B-E-C-A-D,30.0,20.0
F-B-E-C-D-A,29.0,20.0
F-B-E-D-A-C,26.0,20.0
F-B-E-D-C-A,27.0,20.0
F-C-A-B-D-E,34.0,20.0
F-C-A-B-E-D,33.0,20.0
F-C-A-D-B-E,35.0,20.0
F-C-A-D-E-B,35.0,20.0
F-C-A-E-B-D,33.0,20.0
F-C-A-E-D-B,34.0,20.0
F-C-B-A-D-E,32.0,20.0
F-C-B-A-E-D,31.0,20.0
F-C-B-D-A-E,31.0,20.0
F-C-B-D-E-A,29.0,20.0
F-C-B-E-A-D,31.0,20.0
F-C-B-E-D-A,30.0,20.0
F-C-D-A-B-E,34.0,20.0
F-C-D-A-E-B,34.0,20.0
F-C-D-B-A-E,32.0,20.0
F-C-D-B-E-A,30.0,20.0
F-C-D-E-A-B,33.0,20.0
F-C-D-E-B-A,31.0,20.0
F-C-E-A-B-D,35.0,20.0
F-C-E-A-D-B,36.0,20.0
F-C-E-B-A-D,33.0,20.0
F-C-E-B-D-A,32.0,20.0
F-C-E-D-A-B,35.0,20.0
F-C-E-D-B-A,33.0,20.0
F-D-A-B-C-E,28.0,20.0
F-D-A-B-E-C,25.0,20.0
F-D-A-C-B-E,31.0,20.0
F-D-A-C-E-B,31.0,20.0
F-D-A-E-B-C,27.0,20.0
F-D-A-E-C-B,30.0,20.0
F-D-B-A-C-E,26.0,20.0
F-D-B-A-E-C,23.0,20.0
F-D-B-C-A-E,27.0,20.0
F-D-B-C-E-A,25.0,20.0
F-D-B-E-A-C,25.0,20.0
F-D-B-E-C-A,26.0,20.0
F-D-C-A-B-E,32.0,20.0
F-D-C-A-E-B,32.0,20.0
F-D-C-B-A-E,30.0,20.0
F-D-C-B-E-A,28.0,20.0
F-D-C-E-A-B,31.0,20.0
F-D-C-E-B-A,29.0,20.0
F-D-E-A-B-C,29.0,20.0
F-D-E-A-C-B,32.0,20.0
F-D-E-B-A-C,27.0,20.0
F-D-E-B-C-A,28.0,20.0
F-D-E-C-A-B,33.0,20.0
F-D-E-C-B-A,31.0,20.0
F-E-A-B-C-D,33.0,20.0
F-E-A-B-D-C,31.0,20.0
