secuencia,tardanza,makespan
A-F-D-C-E-B,46.0,26.0
A-F-D-E-B-C,44.0,28.0
A-F-D-E-C-B,43.0,26.0
A-F-E-B-C-D,53.0,30.0
A-F-E-B-D-C,47.0,28.0
A-F-E-C-B-D,48.0,26.0
A-F-E-C-D-B,49.0,26.0
A-F-E-D-B-C,48.0,28.0
A-F-E-D-C-B,55.0,30.0
B-A-C-D-E-F,36.0,28.0
B-A-C-D-F-E,34.0,26.0
B-A-C-E-D-F,27.0,24.0
B-A-C-E-F-D,28.0,24.0
B-A-C-F-D-E,35.0,26.0
B-A-C-F-E-D,38.0,28.0
B-A-D-C-E-F,38.0,28.0
B-A-D-C-F-E,44.0,30.0
B-A-D-E-C-F,35.0,28.0
B-A-D-E-F-C,38.0,30.0
B-A-D-F-C-E,35.0,26.0
B-A-D-F-E-C,32.0,26.0
B-A-E-C-D-F,29.0,24.0
B-A-E-C-F-D,30.0,24.0
B-A-E-D-C-F,35.0,28.0
B-A-E-D-F-C,30.0,26.0
B-A-E-F-C-D,37.0,28.0
B-A-E-F-D-C,31.0,26.0
B-A-F-C-D-E,48.0,30.0
B-A-F-C-E-D,43.0,28.0
B-A-F-D-C-E,38.0,26.0
B-A-F-D-E-C,35.0,26.0
B-A-F-E-C-D,40.0,28.0
B-A-F-E-D-C,42.0,30.0
B-C-A-D-E-F,37.0,28.0
B-C-A-D-F-E,35.0,26.0
B-C-A-E-D-F,28.0,24.0
B-C-A-E-F-D,29.0,24.0
B-C-A-F-D-E,36.0,26.0
B-C-A-F-E-D,39.0,28.0
B-C-D-A-E-F,40.0,28.0
B-C-D-A-F-E,46.0,30.0
B-C-D-E-A-F,38.0,28.0
B-C-D-E-F-A,42.0,30.0
B-C-D-F-A-E,38.0,26.0
B-C-D-F-E-A,36.0,26.0
B-C-E-A-D-F,30.0,24.0
B-C-E-A-F-D,31.0,24.0
B-C-E-D-A-F,37.0,28.0
B-C-E-D-F-A,33.0,26.0
B-C-E-F-A-D,39.0,28.0
B-C-E-F-D-A,34.0,26.0
B-C-F-A-D-E,49.0,30.0
B-C-F-A-E-D,44.0,28.0
B-C-F-D-A-E,40.0,26.0
B-C-F-D-E-A,38.0,26.0
B-C-F-E-A-D,42.0,28.0
B-C-F-E-D-A,45.0,30.0
B-D-A-C-E-F,23.0,24.0
B-D-A-C-F-E,29.0,26.0
B-D-A-E-C-F,22.0,24.0
B-D-A-E-F-C,25.0,26.0
B-D-A-F-C-E,32.0,26.0
B-D-A-F-E-C,29.0,26.0
B-D-C-A-E-F,24.0,24.0
B-D-C-A-F-E,30.0,26.0
B-D-C-E-A-F,23.0,24.0
B-D-C-E-F-A,27.0,26.0
B-D-C-F-A-E,34.0,26.0
B-D-C-F-E-A,32.0,26.0
B-D-E-A-C-F,24.0,24.0
B-D-E-A-F-C,27.0,26.0
B-D-E-C-A-F,25.0,24.0
B-D-E-C-F-A,29.0,26.0
B-D-E-F-A-C,32.0,26.0
B-D-E-F-C-A,33.0,26.0
B-D-F-A-C-E,27.0,22.0
B-D-F-A-E-C,24.0,22.0
B-D-F-C-A-E,28.0,22.0
B-D-F-C-E-A,26.0,22.0
B-D-F-E-A-C,24.0,22.0
B-D-F-E-C-A,25.0,22.0
B-E-A-C-D-F,31.0,24.0
B-E-A-C-F-D,32.0,24.0
B-E-A-D-C-F,37.0,28.0
B-E-A-D-F-C,32.0,26.0
B-E-A-F-C-D,39.0,28.0
B-E-A-F-D-C,33.0,26.0
B-E-C-A-D-F,32.0,24.0
B-E-C-A-F-D,33.0,24.0
B-E-C-D-A-F,39.0,28.0
B-E-C-D-F-A,35.0,26.0
B-E-C-F-A-D,41.0,28.0
B-E-C-F-D-A,36.0,26.0
B-E-D-A-C-F,40.0,28.0
B-E-D-A-F-C,43.0,30.0
B-E-D-C-A-F,41.0,28.0
B-E-D-C-F-A,45.0,30.0
B-E-D-F-A-C,36.0,26.0
B-E-D-F-C-A,37.0,26.0
B-E-F-A-C-D,47.0,28.0
B-E-F-A-D-C,49.0,30.0
B-E-F-C-A-D,48.0,28.0
B-E-F-C-D-A,51.0,30.0
B-E-F-D-A-C,40.0,26.0
B-E-F-D-C-A,41.0,26.0
B-F-A-C-D-E,40.0,26.0
B-F-A-C-E-D,35.0,24.0
B-F-A-D-C-E,42.0,26.0
B-F-A-D-E-C,39.0,26.0
B-F-A-E-C-D,33.0,24.0
B-F-A-E-D-C,35.0,26.0
B-F-C-A-D-E,41.0,26.0
B-F-C-A-E-D,36.0,24.0
B-F-C-D-A-E,44.0,26.0
B-F-C-D-E-A,42.0,26.0
B-F-C-E-A-D,34.0,24.0
B-F-C-E-D-A,37.0,26.0
B-F-D-A-C-E,29.0,22.0
B-F-D-A-E-C,26.0,22.0
B-F-D-C-A-E,30.0,22.0
B-F-D-C-E-A,28.0,22.0
B-F-D-E-A-C,26.0,22.0
B-F-D-E-C-A,27.0,22.0
B-F-E-A-C-D,35.0,24.0
B-F-E-A-D-C,37.0,26.0
B-F-E-C-A-D,36.0,24.0
B-F-E-C-D-A,39.0,26.0
B-F-E-D-A-C,40.0,26.0
B-F-E-D-C-A,41.0,26.0
C-A-B-D-E-F,36.0,26.0
C-A-B-D-F-E,34.0,24.0
C-A-B-E-D-F,39.0,26.0
C-A-B-E-F-D,40.0,26.0
C-A-B-F-D-E,35.0,24.0
C-A-B-F-E-D,38.0,26.0
C-A-D-B-E-F,37.0,26.0
C-A-D-B-F-E,35.0,24.0
C-A-D-E-B-F,41.0,26.0
C-A-D-E-F-B,43.0,26.0
C-A-D-F-B-E,37.0,24.0
C-A-D-F-E-B,41.0,26.0
C-A-E-B-D-F,31.0,22.0
C-A-E-B-F-D,32.0,22.0
C-A-E-D-B-F,32.0,22.0
C-A-E-D-F-B,34.0,22.0
C-A-E-F-B-D,34.0,22.0
C-A-E-F-D-B,35.0,22.0
C-A-F-B-D-E,38.0,24.0
C-A-F-B-E-D,41.0,26.0
C-A-F-D-B-E,39.0,24.0
C-A-F-D-E-B,43.0,26.0
C-A-F-E-B-D,45.0,26.0
C-A-F-E-D-B,46.0,26.0
C-B-A-D-E-F,50.0,30.0
C-B-A-D-F-E,48.0,28.0
C-B-A-E-D-F,41.0,26.0
C-B-A-E-F-D,42.0,26.0
C-B-A-F-D-E,49.0,28.0
C-B-A-F-E-D,52.0,30.0
C-B-D-A-E-F,37.0,26.0
C-B-D-A-F-E,43.0,28.0
C-B-D-E-A-F,35.0,26.0
C-B-D-E-F-A,39.0,28.0
C-B-D-F-A-E,35.0,24.0
C-B-D-F-E-A,33.0,24.0
C-B-E-A-D-F,41.0,26.0
C-B-E-A-F-D,42.0,26.0
C-B-E-D-A-F,48.0,30.0
C-B-E-D-F-A,44.0,28.0
C-B-E-F-A-D,50.0,30.0
C-B-E-F-D-A,45.0,28.0
C-B-F-A-D-E,48.0,28.0
C-B-F-A-E-D,43.0,26.0
C-B-F-D-A-E,39.0,24.0
C-B-F-D-E-A,37.0,24.0
C-B-F-E-A-D,41.0,26.0
C-B-F-E-D-A,44.0,28.0
C-D-A-B-E-F,52.0,30.0
C-D-A-B-F-E,50.0,28.0
C-D-A-E-B-F,44.0,26.0
C-D-A-E-F-B,46.0,26.0
C-D-A-F-B-E,52.0,28.0
C-D-A-F-E-B,56.0,30.0
C-D-B-A-E-F,38.0,26.0
C-D-B-A-F-E,44.0,28.0
C-D-B-E-A-F,36.0,26.0
C-D-B-E-F-A,40.0,28.0
C-D-B-F-A-E,36.0,24.0
C-D-B-F-E-A,34.0,24.0
C-D-E-A-B-F,43.0,26.0
C-D-E-A-F-B,45.0,26.0
C-D-E-B-A-F,49.0,30.0
C-D-E-B-F-A,45.0,28.0
C-D-E-F-A-B,53.0,30.0
C-D-E-F-B-A,47.0,28.0
C-D-F-A-B-E,50.0,28.0
C-D-F-A-E-B,46.0,26.0
C-D-F-B-A-E,40.0,24.0
C-D-F-B-E-A,38.0,24.0
C-D-F-E-A-B,44.0,26.0
C-D-F-E-B-A,46.0,28.0
C-E-A-B-D-F,33.0,22.0
C-E-A-B-F-D,34.0,22.0
C-E-A-D-B-F,34.0,22.0
C-E-A-D-F-B,36.0,22.0
C-E-A-F-B-D,36.0,22.0
C-E-A-F-D-B,37.0,22.0
C-E-B-A-D-F,43.0,26.0
C-E-B-A-F-D,44.0,26.0
C-E-B-D-A-F,38.0,26.0
C-E-B-D-F-A,34.0,24.0
C-E-B-F-A-D,41.0,26.0
C-E-B-F-D-A,36.0,24.0
C-E-D-A-B-F,45.0,26.0
C-E-D-A-F-B,47.0,26.0
C-E-D-B-A-F,39.0,26.0
C-E-D-B-F-A,35.0,24.0
C-E-D-F-A-B,43.0,26.0
C-E-D-F-B-A,37.0,24.0
C-E-F-A-B-D,51.0,26.0
C-E-F-A-D-B,52.0,26.0
C-E-F-B-A-D,45.0,26.0
C-E-F-B-D-A,40.0,24.0
C-E-F-D-A-B,47.0,26.0
C-E-F-D-B-A,41.0,24.0
C-F-A-B-D-E,58.0,28.0
C-F-A-B-E-D,61.0,30.0
C-F-A-D-B-E,59.0,28.0
C-F-A-D-E-B,63.0,30.0
C-F-A-E-B-D,53.0,26.0
C-F-A-E-D-B,54.0,26.0
C-F-B-A-D-E,52.0,28.0
C-F-B-A-E-D,47.0,26.0
C-F-B-D-A-E,43.0,24.0
C-F-B-D-E-A,41.0,24.0
C-F-B-E-A-D,45.0,26.0
C-F-B-E-D-A,48.0,28.0
C-F-D-A-B-E,54.0,28.0
C-F-D-A-E-B,50.0,26.0
C-F-D-B-A-E,44.0,24.0
C-F-D-B-E-A,42.0,24.0
C-F-D-E-A-B,48.0,26.0
C-F-D-E-B-A,50.0,28.0
C-F-E-A-B-D,51.0,26.0
C-F-E-A-D-B,52.0,26.0
C-F-E-B-A-D,57.0,30.0
C-F-E-B-D-A,52.0,28.0
C-F-E-D-A-B,59.0,30.0
C-F-E-D-B-A,53.0,28.0
D-A-B-C-E-F,42.0,28.0
D-A-B-C-F-E,48.0,30.0
D-A-B-E-C-F,39.0,28.0
D-A-B-E-F-C,42.0,30.0
D-A-B-F-C-E,39.0,26.0
D-A-B-F-E-C,36.0,26.0
D-A-C-B-E-F,41.0,28.0
D-A-C-B-F-E,39.0,26.0
D-A-C-E-B-F,33.0,24.0
D-A-C-E-F-B,35.0,24.0
D-A-C-F-B-E,41.0,26.0
D-A-C-F-E-B,45.0,28.0
D-A-E-B-C-F,39.0,28.0
D-A-E-B-F-C,34.0,26.0
D-A-E-C-B-F,34.0,24.0
D-A-E-C-F-B,36.0,24.0
D-A-E-F-B-C,36.0,26.0
D-A-E-F-C-B,43.0,28.0
D-A-F-B-C-E,42.0,26.0
D-A-F-B-E-C,39.0,26.0
D-A-F-C-B-E,53.0,30.0
D-A-F-C-E-B,49.0,28.0
D-A-F-E-B-C,47.0,30.0
D-A-F-E-C-B,46.0,28.0
D-B-A-C-E-F,24.0,24.0
D-B-A-C-F-E,30.0,26.0
D-B-A-E-C-F,23.0,24.0
D-B-A-E-F-C,26.0,26.0
D-B-A-F-C-E,33.0,26.0
D-B-A-F-E-C,30.0,26.0
D-B-C-A-E-F,25.0,24.0
D-B-C-A-F-E,31.0,26.0
D-B-C-E-A-F,24.0,24.0
D-B-C-E-F-A,28.0,26.0
D-B-C-F-A-E,35.0,26.0
D-B-C-F-E-A,33.0,26.0
D-B-E-A-C-F,25.0,24.0
D-B-E-A-F-C,28.0,26.0
D-B-E-C-A-F,26.0,24.0
D-B-E-C-F-A,30.0,26.0
D-B-E-F-A-C,33.0,26.0
D-B-E-F-C-A,34.0,26.0
D-B-F-A-C-E,28.0,22.0
D-B-F-A-E-C,25.0,22.0
D-B-F-C-A-E,29.0,22.0
D-B-F-C-E-A,27.0,22.0
D-B-F-E-A-C,25.0,22.0
D-B-F-E-C-A,26.0,22.0
D-C-A-B-E-F,42.0,28.0
D-C-A-B-F-E,40.0,26.0
D-C-A-E-B-F,34.0,24.0
D-C-A-E-F-B,36.0,24.0
D-C-A-F-B-E,42.0,26.0
D-C-A-F-E-B,46.0,28.0
D-C-B-A-E-F,44.0,28.0
D-C-B-A-F-E,50.0,30.0
D-C-B-E-A-F,42.0,28.0
D-C-B-E-F-A,46.0,30.0
D-C-B-F-A-E,42.0,26.0
D-C-B-F-E-A,40.0,26.0
D-C-E-A-B-F,35.0,24.0
D-C-E-A-F-B,37.0,24.0
D-C-E-B-A-F,41.0,28.0
D-C-E-B-F-A,37.0,26.0
D-C-E-F-A-B,45.0,28.0
D-C-E-F-B-A,39.0,26.0
D-C-F-A-B-E,54.0,30.0
D-C-F-A-E-B,50.0,28.0
D-C-F-B-A-E,44.0,26.0
D-C-F-B-E-A,42.0,26.0
D-C-F-E-A-B,48.0,28.0
D-C-F-E-B-A,50.0,30.0
D-E-A-B-C-F,41.0,28.0
D-E-A-B-F-C,36.0,26.0
D-E-A-C-B-F,36.0,24.0
D-E-A-C-F-B,38.0,24.0
D-E-A-F-B-C,38.0,26.0
D-E-A-F-C-B,45.0,28.0
D-E-B-A-C-F,43.0,28.0
D-E-B-A-F-C,46.0,30.0
D-E-B-C-A-F,44.0,28.0
D-E-B-C-F-A,48.0,30.0
D-E-B-F-A-C,39.0,26.0
D-E-B-F-C-A,40.0,26.0
D-E-C-A-B-F,37.0,24.0
D-E-C-A-F-B,39.0,24.0
D-E-C-B-A-F,43.0,28.0
D-E-C-B-F-A,39.0,26.0
D-E-C-F-A-B,47.0,28.0
D-E-C-F-B-A,41.0,26.0
D-E-F-A-B-C,53.0,30.0
D-E-F-A-C-B,52.0,28.0
D-E-F-B-A-C,43.0,26.0
D-E-F-B-C-A,44.0,26.0
D-E-F-C-A-B,53.0,28.0
D-E-F-C-B-A,55.0,30.0
D-F-A-B-C-E,46.0,26.0
D-F-A-B-E-C,43.0,26.0
D-F-A-C-B-E,45.0,26.0
D-F-A-C-E-B,41.0,24.0
D-F-A-E-B-C,39.0,26.0
D-F-A-E-C-B,38.0,24.0
D-F-B-A-C-E,32.0,22.0
D-F-B-A-E-C,29.0,22.0
D-F-B-C-A-E,33.0,22.0
D-F-B-C-E-A,31.0,22.0
D-F-B-E-A-C,29.0,22.0
D-F-B-E-C-A,30.0,22.0
D-F-C-A-B-E,46.0,26.0
D-F-C-A-E-B,42.0,24.0
D-F-C-B-A-E,48.0,26.0
D-F-C-B-E-A,46.0,26.0
D-F-C-E-A-B,40.0,24.0
D-F-C-E-B-A,42.0,26.0
D-F-E-A-B-C,41.0,26.0
D-F-E-A-C-B,40.0,24.0
D-F-E-B-A-C,43.0,26.0
D-F-E-B-C-A,44.0,26.0
D-F-E-C-A-B,41.0,24.0
D-F-E-C-B-A,43.0,26.0
E-A-B-C-D-F,39.0,26.0
E-A-B-C-F-D,40.0,26.0
E-A-B-D-C-F,33.0,26.0
E-A-B-D-F-C,28.0,24.0
E-A-B-F-C-D,37.0,26.0
E-A-B-F-D-C,31.0,24.0
E-A-C-B-D-F,30.0,22.0
E-A-C-B-F-D,31.0,22.0
E-A-C-D-B-F,31.0,22.0
E-A-C-D-F-B,33.0,22.0
E-A-C-F-B-D,33.0,22.0
E-A-C-F-D-B,34.0,22.0
E-A-D-B-C-F,34.0,26.0
E-A-D-B-F-C,29.0,24.0
E-A-D-C-B-F,41.0,26.0
E-A-D-C-F-B,43.0,26.0
E-A-D-F-B-C,32.0,24.0
E-A-D-F-C-B,39.0,26.0
E-A-F-B-C-D,41.0,26.0
E-A-F-B-D-C,35.0,24.0
E-A-F-C-B-D,48.0,26.0
E-A-F-C-D-B,49.0,26.0
E-A-F-D-B-C,36.0,24.0
E-A-F-D-C-B,43.0,26.0
E-B-A-C-D-F,41.0,26.0
E-B-A-C-F-D,42.0,26.0
E-B-A-D-C-F,47.0,30.0
E-B-A-D-F-C,42.0,28.0
E-B-A-F-C-D,49.0,30.0
E-B-A-F-D-C,43.0,28.0
E-B-C-A-D-F,42.0,26.0
E-B-C-A-F-D,43.0,26.0
E-B-C-D-A-F,49.0,30.0
E-B-C-D-F-A,45.0,28.0
E-B-C-F-A-D,51.0,30.0
E-B-C-F-D-A,46.0,28.0
E-B-D-A-C-F,34.0,26.0
E-B-D-A-F-C,37.0,28.0
E-B-D-C-A-F,35.0,26.0
E-B-D-C-F-A,39.0,28.0
E-B-D-F-A-C,32.0,24.0
E-B-D-F-C-A,33.0,24.0
E-B-F-A-C-D,43.0,26.0
E-B-F-A-D-C,45.0,28.0
E-B-F-C-A-D,44.0,26.0
E-B-F-C-D-A,47.0,28.0
E-B-F-D-A-C,36.0,24.0
E-B-F-D-C-A,37.0,24.0
E-C-A-B-D-F,33.0,22.0
E-C-A-B-F-D,34.0,22.0
E-C-A-D-B-F,34.0,22.0
E-C-A-D-F-B,36.0,22.0
E-C-A-F-B-D,36.0,22.0
E-C-A-F-D-B,37.0,22.0
E-C-B-A-D-F,43.0,26.0
E-C-B-A-F-D,44.0,26.0
E-C-B-D-A-F,38.0,26.0
E-C-B-D-F-A,34.0,24.0
E-C-B-F-A-D,41.0,26.0
E-C-B-F-D-A,36.0,24.0
E-C-D-A-B-F,45.0,26.0
E-C-D-A-F-B,47.0,26.0
E-C-D-B-A-F,39.0,26.0
E-C-D-B-F-A,35.0,24.0
E-C-D-F-A-B,43.0,26.0
E-C-D-F-B-A,37.0,24.0
E-C-F-A-B-D,51.0,26.0
E-C-F-A-D-B,52.0,26.0
E-C-F-B-A-D,45.0,26.0
E-C-F-B-D-A,40.0,24.0
E-C-F-D-A-B,47.0,26.0
E-C-F-D-B-A,41.0,24.0
E-D-A-B-C-F,49.0,30.0
E-D-A-B-F-C,44.0,28.0
E-D-A-C-B-F,44.0,26.0
E-D-A-C-F-B,46.0,26.0
E-D-A-F-B-C,46.0,28.0
E-D-A-F-C-B,53.0,30.0
E-D-B-A-C-F,35.0,26.0
E-D-B-A-F-C,38.0,28.0
E-D-B-C-A-F,36.0,26.0
E-D-B-C-F-A,40.0,28.0
E-D-B-F-A-C,33.0,24.0
E-D-B-F-C-A,34.0,24.0
E-D-C-A-B-F,45.0,26.0
E-D-C-A-F-B,47.0,26.0
E-D-C-B-A-F,51.0,30.0
E-D-C-B-F-A,47.0,28.0
E-D-C-F-A-B,55.0,30.0
E-D-C-F-B-A,49.0,28.0
E-D-F-A-B-C,47.0,28.0
E-D-F-A-C-B,46.0,26.0
E-D-F-B-A-C,37.0,24.0
E-D-F-B-C-A,38.0,24.0
E-D-F-C-A-B,47.0,26.0
E-D-F-C-B-A,49.0,28.0
E-F-A-B-C-D,61.0,30.0
E-F-A-B-D-C,55.0,28.0
E-F-A-C-B-D,56.0,26.0
E-F-A-C-D-B,57.0,26.0
E-F-A-D-B-C,56.0,28.0
E-F-A-D-C-B,63.0,30.0
E-F-B-A-C-D,47.0,26.0
E-F-B-A-D-C,49.0,28.0
E-F-B-C-A-D,48.0,26.0
E-F-B-C-D-A,51.0,28.0
E-F-B-D-A-C,40.0,24.0
E-F-B-D-C-A,41.0,24.0
E-F-C-A-B-D,57.0,26.0
E-F-C-A-D-B,58.0,26.0
E-F-C-B-A-D,63.0,30.0
E-F-C-B-D-A,58.0,28.0
E-F-C-D-A-B,65.0,30.0
E-F-C-D-B-A,59.0,28.0
E-F-D-A-B-C,51.0,28.0
E-F-D-A-C-B,50.0,26.0
E-F-D-B-A-C,41.0,24.0
E-F-D-B-C-A,42.0,24.0
E-F-D-C-A-B,51.0,26.0
E-F-D-C-B-A,53.0,28.0
F-A-B-C-D-E,60.0,30.0
F-A-B-C-E-D,55.0,28.0
F-A-B-D-C-E,50.0,26.0
F-A-B-D-E-C,47.0,26.0
F-A-B-E-C-D,52.0,28.0
F-A-B-E-D-C,54.0,30.0
F-A-C-B-D-E,51.0,26.0
F-A-C-B-E-D,54.0,28.0
F-A-C-D-B-E,52.0,26.0
F-A-C-D-E-B,56.0,28.0
F-A-C-E-B-D,46.0,24.0
F-A-C-E-D-B,47.0,24.0
F-A-D-B-C-E,51.0,26.0
F-A-D-B-E-C,48.0,26.0
F-A-D-C-B-E,62.0,30.0
F-A-D-C-E-B,58.0,28.0
F-A-D-E-B-C,56.0,30.0
F-A-D-E-C-B,55.0,28.0
F-A-E-B-C-D,51.0,28.0
F-A-E-B-D-C,45.0,26.0
F-A-E-C-B-D,46.0,24.0
F-A-E-C-D-B,47.0,24.0
F-A-E-D-B-C,46.0,26.0
F-A-E-D-C-B,53.0,28.0
F-B-A-C-D-E,42.0,26.0
F-B-A-C-E-D,37.0,24.0
F-B-A-D-C-E,44.0,26.0
F-B-A-D-E-C,41.0,26.0
F-B-A-E-C-D,35.0,24.0
F-B-A-E-D-C,37.0,26.0
F-B-C-A-D-E,43.0,26.0
F-B-C-A-E-D,38.0,24.0
F-B-C-D-A-E,46.0,26.0
F-B-C-D-E-A,44.0,26.0
F-B-C-E-A-D,36.0,24.0
F-B-C-E-D-A,39.0,26.0
F-B-D-A-C-E,31.0,22.0
F-B-D-A-E-C,28.0,22.0
F-B-D-C-A-E,32.0,22.0
F-B-D-C-E-A,30.0,22.0
F-B-D-E-A-C,28.0,22.0
F-B-D-E-C-A,29.0,22.0
F-B-E-A-C-D,37.0,24.0
F-B-E-A-D-C,39.0,26.0
F-B-E-C-A-D,38.0,24.0
F-B-E-C-D-A,41.0,26.0
F-B-E-D-A-C,42.0,26.0
F-B-E-D-C-A,43.0,26.0
F-C-A-B-D-E,52.0,26.0
F-C-A-B-E-D,55.0,28.0
F-C-A-D-B-E,53.0,26.0
F-C-A-D-E-B,57.0,28.0
F-C-A-E-B-D,47.0,24.0
F-C-A-E-D-B,48.0,24.0
F-C-B-A-D-E,62.0,30.0
F-C-B-A-E-D,57.0,28.0
F-C-B-D-A-E,53.0,26.0
F-C-B-D-E-A,51.0,26.0
F-C-B-E-A-D,55.0,28.0
F-C-B-E-D-A,58.0,30.0
F-C-D-A-B-E,64.0,30.0
F-C-D-A-E-B,60.0,28.0
F-C-D-B-A-E,54.0,26.0
F-C-D-B-E-A,52.0,26.0
F-C-D-E-A-B,58.0,28.0
F-C-D-E-B-A,60.0,30.0
F-C-E-A-B-D,47.0,24.0
F-C-E-A-D-B,48.0,24.0
F-C-E-B-A-D,53.0,28.0
F-C-E-B-D-A,48.0,26.0
F-C-E-D-A-B,55.0,28.0
F-C-E-D-B-A,49.0,26.0
F-D-A-B-C-E,46.0,26.0
F-D-A-B-E-C,43.0,26.0
F-D-A-C-B-E,45.0,26.0
F-D-A-C-E-B,41.0,24.0
F-D-A-E-B-C,39.0,26.0
F-D-A-E-C-B,38.0,24.0
F-D-B-A-C-E,32.0,22.0
F-D-B-A-E-C,29.0,22.0
F-D-B-C-A-E,33.0,22.0
F-D-B-C-E-A,31.0,22.0
F-D-B-E-A-C,29.0,22.0
F-D-B-E-C-A,30.0,22.0
F-D-C-A-B-E,46.0,26.0
F-D-C-A-E-B,42.0,24.0
F-D-C-B-A-E,48.0,26.0
F-D-C-B-E-A,46.0,26.0
F-D-C-E-A-B,40.0,24.0
F-D-C-E-B-A,42.0,26.0
F-D-E-A-B-C,41.0,26.0
F-D-E-A-C-B,40.0,24.0
F-D-E-B-A-C,43.0,26.0
F-D-E-B-C-A,44.0,26.0
F-D-E-C-A-B,41.0,24.0
F-D-E-C-B-A,43.0,26.0
F-E-A-B-C-D,53.0,28.0
F-E-A-B-D-C,47.0,26.0
