escenario,prob,t,sku,demanda_cajas
s1-bajo-general,0.1,12,POR-3000,64.0
s2-bajo-tom,0.12,1,DUR-480,1030.0
s2-bajo-tom,0.12,2,DUR-480,1261.0
s2-bajo-tom,0.12,3,DUR-480,1655.0
s2-bajo-tom,0.12,4,DUR-480,1105.0
s2-bajo-tom,0.12,5,DUR-480,1440.0
s2-bajo-tom,0.12,6,DUR-480,1238.0
s2-bajo-tom,0.12,7,DUR-480,1277.0
s2-bajo-tom,0.12,8,DUR-480,1446.0
s2-bajo-tom,0.12,9,DUR-480,1456.0
s2-bajo-tom,0.12,10,DUR-480,1251.0
s2-bajo-tom,0.12,11,DUR-480,1474.0
s2-bajo-tom,0.12,12,DUR-480,1422.0
s2-bajo-tom,0.12,1,DUR-820,235.0
s2-bajo-tom,0.12,2,DUR-820,259.0
s2-bajo-tom,0.12,3,DUR-820,364.0
s2-bajo-tom,0.12,4,DUR-820,272.0
s2-bajo-tom,0.12,5,DUR-820,339.0
s2-bajo-tom,0.12,6,DUR-820,296.0
s2-bajo-tom,0.12,7,DUR-820,313.0
s2-bajo-tom,0.12,8,DUR-820,310.0
s2-bajo-tom,0.12,9,DUR-820,338.0
s2-bajo-tom,0.12,10,DUR-820,289.0
s2-bajo-tom,0.12,11,DUR-820,343.0
s2-bajo-tom,0.12,12,DUR-820,340.0
s2-bajo-tom,0.12,1,TOM-480,2985.0
s2-bajo-tom,0.12,2,TOM-480,2848.0
s2-bajo-tom,0.12,3,TOM-480,2886.0
s2-bajo-tom,0.12,4,TOM-480,2507.0
s2-bajo-tom,0.12,5,TOM-480,2587.0
s2-bajo-tom,0.12,6,TOM-480,2630.0
s2-bajo-tom,0.12,7,TOM-480,2392.0
s2-bajo-tom,0.12,8,TOM-480,2343.0
s2-bajo-tom,0.12,9,TOM-480,2573.0
s2-bajo-tom,0.12,10,TOM-480,2204.0
s2-bajo-tom,0.12,11,TOM-480,1938.0
s2-bajo-tom,0.12,12,TOM-480,2373.0
s2-bajo-tom,0.12,1,TOM-3000,278.0
s2-bajo-tom,0.12,2,TOM-3000,286.0
s2-bajo-tom,0.12,3,TOM-3000,371.0
s2-bajo-tom,0.12,4,TOM-3000,266.0
s2-bajo-tom,0.12,5,TOM-3000,302.0
s2-bajo-tom,0.12,6,TOM-3000,250.0
s2-bajo-tom,0.12,7,TOM-3000,274.0
s2-bajo-tom,0.12,8,TOM-3000,294.0
s2-bajo-tom,0.12,9,TOM-3000,273.0
s2-bajo-tom,0.12,10,TOM-3000,264.0
s2-bajo-tom,0.12,11,TOM-3000,234.0
s2-bajo-tom,0.12,12,TOM-3000,251.0
s2-bajo-tom,0.12,1,POR-480,1250.0
s2-bajo-tom,0.12,2,POR-480,1090.0
s2-bajo-tom,0.12,3,POR-480,1478.0
s2-bajo-tom,0.12,4,POR-480,1051.0
s2-bajo-tom,0.12,5,POR-480,1073.0
s2-bajo-tom,0.12,6,POR-480,1047.0
s2-bajo-tom,0.12,7,POR-480,937.0
s2-bajo-tom,0.12,8,POR-480,958.0
s2-bajo-tom,0.12,9,POR-480,897.0
s2-bajo-tom,0.12,10,POR-480,848.0
s2-bajo-tom,0.12,11,POR-480,800.0
s2-bajo-tom,0.12,12,POR-480,703.0
s2-bajo-tom,0.12,1,POR-3000,140.0
s2-bajo-tom,0.12,2,POR-3000,139.0
s2-bajo-tom,0.12,3,POR-3000,136.0
s2-bajo-tom,0.12,4,POR-3000,115.0
s2-bajo-tom,0.12,5,POR-3000,97.0
s2-bajo-tom,0.12,6,POR-3000,118.0
s2-bajo-tom,0.12,7,POR-3000,94.0
s2-bajo-tom,0.12,8,POR-3000,101.0
s2-bajo-tom,0.12,9,POR-3000,92.0
s2-bajo-tom,0.12,10,POR-3000,87.0
s2-bajo-tom,0.12,11,POR-3000,87.0
s2-bajo-tom,0.12,12,POR-3000,84.0
s3-central-bajo,0.15,1,DUR-480,1219.0
s3-central-bajo,0.15,2,DUR-480,1271.0
s3-central-bajo,0.15,3,DUR-480,1418.0
s3-central-bajo,0.15,4,DUR-480,1092.0
s3-central-bajo,0.15,5,DUR-480,1229.0
s3-central-bajo,0.15,6,DUR-480,1427.0
s3-central-bajo,0.15,7,DUR-480,1382.0
s3-central-bajo,0.15,8,DUR-480,1276.0
s3-central-bajo,0.15,9,DUR-480,1450.0
s3-central-bajo,0.15,10,DUR-480,1441.0
s3-central-bajo,0.15,11,DUR-480,1614.0
s3-central-bajo,0.15,12,DUR-480,1436.0
s3-central-bajo,0.15,1,DUR-820,238.0
s3-central-bajo,0.15,2,DUR-820,239.0
s3-central-bajo,0.15,3,DUR-820,342.0
s3-central-bajo,0.15,4,DUR-820,282.0
s3-central-bajo,0.15,5,DUR-820,267.0
s3-central-bajo,0.15,6,DUR-820,297.0
s3-central-bajo,0.15,7,DUR-820,269.0
s3-central-bajo,0.15,8,DUR-820,277.0
s3-central-bajo,0.15,9,DUR-820,271.0
s3-central-bajo,0.15,10,DUR-820,329.0
s3-central-bajo,0.15,11,DUR-820,324.0
s3-central-bajo,0.15,12,DUR-820,307.0
s3-central-bajo,0.15,1,TOM-480,3511.0
s3-central-bajo,0.15,2,TOM-480,3454.0
s3-central-bajo,0.15,3,TOM-480,3932.0
s3-central-bajo,0.15,4,TOM-480,2593.0
s3-central-bajo,0.15,5,TOM-480,2975.0
s3-central-bajo,0.15,6,TOM-480,2563.0
s3-central-bajo,0.15,7,TOM-480,2989.0
s3-central-bajo,0.15,8,TOM-480,2728.0
s3-central-bajo,0.15,9,TOM-480,2820.0
s3-central-bajo,0.15,10,TOM-480,2513.0
s3-central-bajo,0.15,11,TOM-480,2862.0
s3-central-bajo,0.15,12,TOM-480,2933.0
s3-central-bajo,0.15,1,TOM-3000,420.0
s3-central-bajo,0.15,2,TOM-3000,332.0
s3-central-bajo,0.15,3,TOM-3000,431.0
s3-central-bajo,0.15,4,TOM-3000,328.0
s3-central-bajo,0.15,5,TOM-3000,338.0
s3-central-bajo,0.15,6,TOM-3000,310.0
s3-central-bajo,0.15,7,TOM-3000,323.0
s3-central-bajo,0.15,8,TOM-3000,292.0
s3-central-bajo,0.15,9,TOM-3000,353.0
s3-central-bajo,0.15,10,TOM-3000,343.0
s3-central-bajo,0.15,11,TOM-3000,278.0
s3-central-bajo,0.15,12,TOM-3000,295.0
s3-central-bajo,0.15,1,POR-480,1146.0
s3-central-bajo,0.15,2,POR-480,1201.0
s3-central-bajo,0.15,3,POR-480,1254.0
s3-central-bajo,0.15,4,POR-480,869.0
s3-central-bajo,0.15,5,POR-480,965.0
s3-central-bajo,0.15,6,POR-480,928.0
s3-central-bajo,0.15,7,POR-480,981.0
s3-central-bajo,0.15,8,POR-480,841.0
s3-central-bajo,0.15,9,POR-480,782.0
s3-central-bajo,0.15,10,POR-480,902.0
s3-central-bajo,0.15,11,POR-480,770.0
s3-central-bajo,0.15,12,POR-480,726.0
s3-central-bajo,0.15,1,POR-3000,98.0
s3-central-bajo,0.15,2,POR-3000,130.0
s3-central-bajo,0.15,3,POR-3000,154.0
s3-central-bajo,0.15,4,POR-3000,92.0
s3-central-bajo,0.15,5,POR-3000,106.0
s3-central-bajo,0.15,6,POR-3000,89.0
s3-central-bajo,0.15,7,POR-3000,96.0
s3-central-bajo,0.15,8,POR-3000,93.0
s3-central-bajo,0.15,9,POR-3000,90.0
s3-central-bajo,0.15,10,POR-3000,84.0
s3-central-bajo,0.15,11,POR-3000,87.0
s3-central-bajo,0.15,12,POR-3000,73.0
s4-central,0.22,1,DUR-480,1251.0
s4-central,0.22,2,DUR-480,1431.0
s4-central,0.22,3,DUR-480,1494.0
s4-central,0.22,4,DUR-480,1225.0
s4-central,0.22,5,DUR-480,1387.0
s4-central,0.22,6,DUR-480,1556.0
s4-central,0.22,7,DUR-480,1522.0
s4-central,0.22,8,DUR-480,1474.0
s4-central,0.22,9,DUR-480,1445.0
s4-central,0.22,10,DUR-480,1578.0
s4-central,0.22,11,DUR-480,1518.0
s4-central,0.22,12,DUR-480,1643.0
s4-central,0.22,1,DUR-820,249.0
s4-central,0.22,2,DUR-820,242.0
s4-central,0.22,3,DUR-820,378.0
s4-central,0.22,4,DUR-820,255.0
s4-central,0.22,5,DUR-820,306.0
s4-central,0.22,6,DUR-820,272.0
s4-central,0.22,7,DUR-820,363.0
s4-central,0.22,8,DUR-820,292.0
s4-central,0.22,9,DUR-820,326.0
s4-central,0.22,10,DUR-820,367.0
s4-central,0.22,11,DUR-820,346.0
s4-central,0.22,12,DUR-820,333.0
s4-central,0.22,1,TOM-480,3578.0
s4-central,0.22,2,TOM-480,3248.0
s4-central,0.22,3,TOM-480,3926.0
s4-central,0.22,4,TOM-480,2994.0
s4-central,0.22,5,TOM-480,2994.0
s4-central,0.22,6,TOM-480,3328.0
s4-central,0.22,7,TOM-480,2930.0
s4-central,0.22,8,TOM-480,3008.0
s4-central,0.22,9,TOM-480,2603.0
s4-central,0.22,10,TOM-480,2920.0
s4-central,0.22,11,TOM-480,2428.0
s4-central,0.22,12,TOM-480,3244.0
s4-central,0.22,1,TOM-3000,467.0
s4-central,0.22,2,TOM-3000,422.0
s4-central,0.22,3,TOM-3000,453.0
s4-central,0.22,4,TOM-3000,317.0
s4-central,0.22,5,TOM-3000,379.0
s4-central,0.22,6,TOM-3000,319.0
s4-central,0.22,7,TOM-3000,353.0
s4-central,0.22,8,TOM-3000,328.0
s4-central,0.22,9,TOM-3000,339.0
s4-central,0.22,10,TOM-3000,362.0
s4-central,0.22,11,TOM-3000,315.0
s4-central,0.22,12,TOM-3000,314.0
s4-central,0.22,1,POR-480,1148.0
s4-central,0.22,2,POR-480,1112.0
s4-central,0.22,3,POR-480,1444.0
s4-central,0.22,4,POR-480,1044.0
s4-central,0.22,5,POR-480,1218.0
s4-central,0.22,6,POR-480,1004.0
s4-central,0.22,7,POR-480,983.0
s4-central,0.22,8,POR-480,993.0
s4-central,0.22,9,POR-480,839.0
s4-central,0.22,10,POR-480,852.0
s4-central,0.22,11,POR-480,873.0
s4-central,0.22,12,POR-480,748.0
s4-central,0.22,1,POR-3000,130.0
s4-central,0.22,2,POR-3000,122.0
s4-central,0.22,3,POR-3000,166.0
s4-central,0.22,4,POR-3000,123.0
s4-central,0.22,5,POR-3000,118.0
s4-central,0.22,6,POR-3000,106.0
s4-central,0.22,7,POR-3000,119.0
s4-central,0.22,8,POR-3000,93.0
s4-central,0.22,9,POR-3000,104.0
s4-central,0.22,10,POR-3000,89.0
s4-central,0.22,11,POR-3000,81.0
s4-central,0.22,12,POR-3000,85.0
s5-central-alto,0.15,1,DUR-480,1280.0
s5-central-alto,0.15,2,DUR-480,1270.0
s5-central-alto,0.15,3,DUR-480,1837.0
s5-central-alto,0.15,4,DUR-480,1315.0
s5-central-alto,0.15,5,DUR-480,1543.0
s5-central-alto,0.15,6,DUR-480,1450.0
s5-central-alto,0.15,7,DUR-480,1515.0
s5-central-alto,0.15,8,DUR-480,1524.0
s5-central-alto,0.15,9,DUR-480,1648.0
s5-central-alto,0.15,10,DUR-480,1587.0
s5-central-alto,0.15,11,DUR-480,1706.0
s5-central-alto,0.15,12,DUR-480,1681.0
s5-central-alto,0.15,1,DUR-820,319.0
s5-central-alto,0.15,2,DUR-820,252.0
s5-central-alto,0.15,3,DUR-820,380.0
s5-central-alto,0.15,4,DUR-820,284.0
s5-central-alto,0.15,5,DUR-820,336.0
s5-central-alto,0.15,6,DUR-820,313.0
s5-central-alto,0.15,7,DUR-820,353.0
s5-central-alto,0.15,8,DUR-820,323.0
s5-central-alto,0.15,9,DUR-820,358.0
s5-central-alto,0.15,10,DUR-820,317.0
s5-central-alto,0.15,11,DUR-820,326.0
s5-central-alto,0.15,12,DUR-820,304.0
s5-central-alto,0.15,1,TOM-480,3826.0
s5-central-alto,0.15,2,TOM-480,3341.0
s5-central-alto,0.15,3,TOM-480,4446.0
s5-central-alto,0.15,4,TOM-480,3330.0
s5-central-alto,0.15,5,TOM-480,3217.0
s5-central-alto,0.15,6,TOM-480,3206.0
s5-central-alto,0.15,7,TOM-480,3356.0
s5-central-alto,0.15,8,TOM-480,3116.0
s5-central-alto,0.15,9,TOM-480,3303.0
s5-central-alto,0.15,10,TOM-480,2994.0
s5-central-alto,0.15,11,TOM-480,2820.0
s5-central-alto,0.15,12,TOM-480,3016.0
s5-central-alto,0.15,1,TOM-3000,454.0
s5-central-alto,0.15,2,TOM-3000,437.0
s5-central-alto,0.15,3,TOM-3000,577.0
s5-central-alto,0.15,4,TOM-3000,382.0
s5-central-alto,0.15,5,TOM-3000,392.0
s5-central-alto,0.15,6,TOM-3000,367.0
s5-central-alto,0.15,7,TOM-3000,378.0
s5-central-alto,0.15,8,TOM-3000,378.0
s5-central-alto,0.15,9,TOM-3000,346.0
s5-central-alto,0.15,10,TOM-3000,350.0
s5-central-alto,0.15,11,TOM-3000,349.0
s5-central-alto,0.15,12,TOM-3000,367.0
s5-central-alto,0.15,1,POR-480,1326.0
s5-central-alto,0.15,2,POR-480,1250.0
s5-central-alto,0.15,3,POR-480,1759.0
s5-central-alto,0.15,4,POR-480,1178.0
s5-central-alto,0.15,5,POR-480,1085.0
s5-central-alto,0.15,6,POR-480,1169.0
s5-central-alto,0.15,7,POR-480,996.0
s5-central-alto,0.15,8,POR-480,1037.0
s5-central-alto,0.15,9,POR-480,896.0
s5-central-alto,0.15,10,POR-480,811.0
s5-central-alto,0.15,11,POR-480,883.0
s5-central-alto,0.15,12,POR-480,800.0
s5-central-alto,0.15,1,POR-3000,143.0
s5-central-alto,0.15,2,POR-3000,139.0
s5-central-alto,0.15,3,POR-3000,148.0
s5-central-alto,0.15,4,POR-3000,111.0
s5-central-alto,0.15,5,POR-3000,115.0
s5-central-alto,0.15,6,POR-3000,103.0
s5-central-alto,0.15,7,POR-3000,112.0
s5-central-alto,0.15,8,POR-3000,104.0
s5-central-alto,0.15,9,POR-3000,91.0
s5-central-alto,0.15,10,POR-3000,97.0
s5-central-alto,0.15,11,POR-3000,95.0
s5-central-alto,0.15,12,POR-3000,89.0
s6-alto-dur,0.11,1,DUR-480,1351.0
s6-alto-dur,0.11,2,DUR-480,1569.0
s6-alto-dur,0.11,3,DUR-480,2031.0
s6-alto-dur,0.11,4,DUR-480,1650.0
s6-alto-dur,0.11,5,DUR-480,1816.0
s6-alto-dur,0.11,6,DUR-480,1635.0
s6-alto-dur,0.11,7,DUR-480,1910.0
s6-alto-dur,0.11,8,DUR-480,1782.0
s6-alto-dur,0.11,9,DUR-480,1893.0
s6-alto-dur,0.11,10,DUR-480,2182.0
s6-alto-dur,0.11,11,DUR-480,2036.0
s6-alto-dur,0.11,12,DUR-480,2027.0
s6-alto-dur,0.11,1,DUR-820,301.0
s6-alto-dur,0.11,2,DUR-820,356.0
s6-alto-dur,0.11,3,DUR-820,447.0
s6-alto-dur,0.11,4,DUR-820,314.0
s6-alto-dur,0.11,5,DUR-820,356.0
s6-alto-dur,0.11,6,DUR-820,353.0
s6-alto-dur,0.11,7,DUR-820,390.0
s6-alto-dur,0.11,8,DUR-820,446.0
s6-alto-dur,0.11,9,DUR-820,381.0
s6-alto-dur,0.11,10,DUR-820,454.0
s6-alto-dur,0.11,11,DUR-820,441.0
s6-alto-dur,0.11,12,DUR-820,435.0
s6-alto-dur,0.11,1,TOM-480,3638.0
s6-alto-dur,0.11,2,TOM-480,3528.0
s6-alto-dur,0.11,3,TOM-480,4668.0
s6-alto-dur,0.11,4,TOM-480,3237.0
s6-alto-dur,0.11,5,TOM-480,3347.0
s6-alto-dur,0.11,6,TOM-480,3308.0
s6-alto-dur,0.11,7,TOM-480,3539.0
s6-alto-dur,0.11,8,TOM-480,2998.0
s6-alto-dur,0.11,9,TOM-480,3086.0
s6-alto-dur,0.11,10,TOM-480,3218.0
s6-alto-dur,0.11,11,TOM-480,2915.0
s6-alto-dur,0.11,12,TOM-480,2711.0
s6-alto-dur,0.11,1,TOM-3000,427.0
s6-alto-dur,0.11,2,TOM-3000,341.0
s6-alto-dur,0.11,3,TOM-3000,575.0
s6-alto-dur,0.11,4,TOM-3000,344.0
s6-alto-dur,0.11,5,TOM-3000,382.0
s6-alto-dur,0.11,6,TOM-3000,397.0
s6-alto-dur,0.11,7,TOM-3000,327.0
s6-alto-dur,0.11,8,TOM-3000,386.0
s6-alto-dur,0.11,9,TOM-3000,325.0
s6-alto-dur,0.11,10,TOM-3000,328.0
s6-alto-dur,0.11,11,TOM-3000,357.0
s6-alto-dur,0.11,12,TOM-3000,337.0
s6-alto-dur,0.11,1,POR-480,1277.0
s6-alto-dur,0.11,2,POR-480,1067.0
s6-alto-dur,0.11,3,POR-480,1577.0
s6-alto-dur,0.11,4,POR-480,943.0
s6-alto-dur,0.11,5,POR-480,1080.0
s6-alto-dur,0.11,6,POR-480,898.0
s6-alto-dur,0.11,7,POR-480,1042.0
s6-alto-dur,0.11,8,POR-480,938.0
s6-alto-dur,0.11,9,POR-480,868.0
s6-alto-dur,0.11,10,POR-480,833.0
s6-alto-dur,0.11,11,POR-480,677.0
s6-alto-dur,0.11,12,POR-480,754.0
s6-alto-dur,0.11,1,POR-3000,130.0
s6-alto-dur,0.11,2,POR-3000,106.0
s6-alto-dur,0.11,3,POR-3000,148.0
s6-alto-dur,0.11,4,POR-3000,117.0
s6-alto-dur,0.11,5,POR-3000,106.0
s6-alto-dur,0.11,6,POR-3000,113.0
s6-alto-dur,0.11,7,POR-3000,104.0
s6-alto-dur,0.11,8,POR-3000,99.0
s6-alto-dur,0.11,9,POR-3000,83.0
s6-alto-dur,0.11,10,POR-3000,92.0
s6-alto-dur,0.11,11,POR-3000,87.0
s6-alto-dur,0.11,12,POR-3000,88.0
s7-alto-general,0.1,1,DUR-480,1533.0
s7-alto-general,0.1,2,DUR-480,1510.0
s7-alto-general,0.1,3,DUR-480,1907.0
s7-alto-general,0.1,4,DUR-480,1468.0
s7-alto-general,0.1,5,DUR-480,1739.0
s7-alto-general,0.1,6,DUR-480,1811.0
s7-alto-general,0.1,7,DUR-480,1504.0
s7-alto-general,0.1,8,DUR-480,1833.0
s7-alto-general,0.1,9,DUR-480,2074.0
s7-alto-general,0.1,10,DUR-480,1781.0
s7-alto-general,0.1,11,DUR-480,1858.0
s7-alto-general,0.1,12,DUR-480,1752.0
s7-alto-general,0.1,1,DUR-820,313.0
s7-alto-general,0.1,2,DUR-820,282.0
s7-alto-general,0.1,3,DUR-820,440.0
s7-alto-general,0.1,4,DUR-820,365.0
s7-alto-general,0.1,5,DUR-820,360.0
s7-alto-general,0.1,6,DUR-820,369.0
s7-alto-general,0.1,7,DUR-820,376.0
s7-alto-general,0.1,8,DUR-820,336.0
s7-alto-general,0.1,9,DUR-820,389.0
s7-alto-general,0.1,10,DUR-820,367.0
s7-alto-general,0.1,11,DUR-820,424.0
s7-alto-general,0.1,12,DUR-820,382.0
s7-alto-general,0.1,1,TOM-480,4117.0
s7-alto-general,0.1,2,TOM-480,4571.0
s7-alto-general,0.1,3,TOM-480,4912.0
s7-alto-general,0.1,4,TOM-480,3249.0
s7-alto-general,0.1,5,TOM-480,3098.0
s7-alto-general,0.1,6,TOM-480,3738.0
s7-alto-general,0.1,7,TOM-480,3709.0
s7-alto-general,0.1,8,TOM-480,3467.0
s7-alto-general,0.1,9,TOM-480,3399.0
s7-alto-general,0.1,10,TOM-480,3430.0
s7-alto-general,0.1,11,TOM-480,3239.0
s7-alto-general,0.1,12,TOM-480,3215.0
s7-alto-general,0.1,1,TOM-3000,461.0
s7-alto-general,0.1,2,TOM-3000,532.0
s7-alto-general,0.1,3,TOM-3000,601.0
s7-alto-general,0.1,4,TOM-3000,434.0
s7-alto-general,0.1,5,TOM-3000,398.0
s7-alto-general,0.1,6,TOM-3000,439.0
s7-alto-general,0.1,7,TOM-3000,374.0
s7-alto-general,0.1,8,TOM-3000,377.0
s7-alto-general,0.1,9,TOM-3000,396.0
s7-alto-general,0.1,10,TOM-3000,440.0
s7-alto-general,0.1,11,TOM-3000,417.0
s7-alto-general,0.1,12,TOM-3000,389.0
s7-alto-general,0.1,1,POR-480,1428.0
s7-alto-general,0.1,2,POR-480,1455.0
s7-alto-general,0.1,3,POR-480,1565.0
s7-alto-general,0.1,4,POR-480,1341.0
s7-alto-general,0.1,5,POR-480,1442.0
s7-alto-general,0.1,6,POR-480,1150.0
s7-alto-general,0.1,7,POR-480,1272.0
s7-alto-general,0.1,8,POR-480,1217.0
s7-alto-general,0.1,9,POR-480,1168.0
s7-alto-general,0.1,10,POR-480,985.0
s7-alto-general,0.1,11,POR-480,1071.0
s7-alto-general,0.1,12,POR-480,1016.0
s7-alto-general,0.1,1,POR-3000,148.0
s7-alto-general,0.1,2,POR-3000,146.0
s7-alto-general,0.1,3,POR-3000,200.0
s7-alto-general,0.1,4,POR-3000,126.0
s7-alto-general,0.1,5,POR-3000,143.0
s7-alto-general,0.1,6,POR-3000,111.0
s7-alto-general,0.1,7,POR-3000,137.0
s7-alto-general,0.1,8,POR-3000,125.0
s7-alto-general,0.1,9,POR-3000,112.0
s7-alto-general,0.1,10,POR-3000,112.0
s7-alto-general,0.1,11,POR-3000,98.0
s7-alto-general,0.1,12,POR-3000,79.0
s8-quiebre-contrato,0.05,1,DUR-480,1204.0
s8-quiebre-contrato,0.05,2,DUR-480,1506.0
s8-quiebre-contrato,0.05,3,DUR-480,1715.0
s8-quiebre-contrato,0.05,4,DUR-480,1241.0
s8-quiebre-contrato,0.05,5,DUR-480,1363.0
s8-quiebre-contrato,0.05,6,DUR-480,1279.0
s8-quiebre-contrato,0.05,7,DUR-480,1440.0
s8-quiebre-contrato,0.05,8,DUR-480,1486.0
s8-quiebre-contrato,0.05,9,DUR-480,1373.0
s8-quiebre-contrato,0.05,10,DUR-480,1548.0
s8-quiebre-contrato,0.05,11,DUR-480,1567.0
s8-quiebre-contrato,0.05,12,DUR-480,1556.0
s8-quiebre-contrato,0.05,1,DUR-820,272.0
s8-quiebre-contrato,0.05,2,DUR-820,240.0
s8-quiebre-contrato,0.05,3,DUR-820,382.0
s8-quiebre-contrato,0.05,4,DUR-820,263.0
s8-quiebre-contrato,0.05,5,DUR-820,283.0
s8-quiebre-contrato,0.05,6,DUR-820,303.0
s8-quiebre-contrato,0.05,7,DUR-820,286.0
s8-quiebre-contrato,0.05,8,DUR-820,272.0
s8-quiebre-contrato,0.05,9,DUR-820,299.0
s8-quiebre-contrato,0.05,10,DUR-820,348.0
s8-quiebre-contrato,0.05,11,DUR-820,281.0
s8-quiebre-contrato,0.05,12,DUR-820,298.0
s8-quiebre-contrato,0.05,1,TOM-480,5678.0
s8-quiebre-contrato,0.05,2,TOM-480,5366.0
s8-quiebre-contrato,0.05,3,TOM-480,6011.0
s8-quiebre-contrato,0.05,4,TOM-480,4738.0
s8-quiebre-contrato,0.05,5,TOM-480,5258.0
s8-quiebre-contrato,0.05,6,TOM-480,4674.0
s8-quiebre-contrato,0.05,7,TOM-480,3601.0
s8-quiebre-contrato,0.05,8,TOM-480,3999.0
s8-quiebre-contrato,0.05,9,TOM-480,4594.0
s8-quiebre-contrato,0.05,10,TOM-480,3936.0
s8-quiebre-contrato,0.05,11,TOM-480,4541.0
s8-quiebre-contrato,0.05,12,TOM-480,4203.0
s8-quiebre-contrato,0.05,1,TOM-3000,623.0
s8-quiebre-contrato,0.05,2,TOM-3000,587.0
s8-quiebre-contrato,0.05,3,TOM-3000,787.0
s8-quiebre-contrato,0.05,4,TOM-3000,506.0
s8-quiebre-contrato,0.05,5,TOM-3000,558.0
s8-quiebre-contrato,0.05,6,TOM-3000,426.0
s8-quiebre-contrato,0.05,7,TOM-3000,489.0
s8-quiebre-contrato,0.05,8,TOM-3000,485.0
s8-quiebre-contrato,0.05,9,TOM-3000,470.0
s8-quiebre-contrato,0.05,10,TOM-3000,430.0
s8-quiebre-contrato,0.05,11,TOM-3000,528.0
s8-quiebre-contrato,0.05,12,TOM-3000,488.0
s8-quiebre-contrato,0.05,1,POR-480,1186.0
s8-quiebre-contrato,0.05,2,POR-480,1166.0
s8-quiebre-contrato,0.05,3,POR-480,1630.0
s8-quiebre-contrato,0.05,4,POR-480,1075.0
