q,faltante_2,faltante_6,base,faltante_12
122,52.0,70.0,79.0,97.0
123,53.0,70.0,78.5,95.5
124,54.0,70.0,78.0,94.0
125,55.0,70.0,77.5,92.5
126,56.0,70.0,77.0,91.0
127,57.0,70.0,76.5,89.5
128,58.0,70.0,76.0,88.0
129,59.0,70.0,75.5,86.5
130,60.0,70.0,75.0,85.0
131,61.0,70.0,74.5,83.5
132,62.0,70.0,74.0,82.0
133,63.0,70.0,73.5,80.5
134,64.0,70.0,73.0,79.0
135,65.0,70.0,72.5,77.5
136,66.0,70.0,72.0,76.0
137,67.0,70.0,71.5,74.5
138,68.0,70.0,71.0,73.0
139,69.0,70.0,70.5,71.5
140,70.0,70.0,70.0,70.0
141,72.0,72.0,72.0,72.0
142,74.0,74.0,74.0,74.0
143,76.0,76.0,76.0,76.0
144,78.0,78.0,78.0,78.0
145,80.0,80.0,80.0,80.0
146,82.0,82.0,82.0,82.0
147,84.0,84.0,84.0,84.0
148,86.0,86.0,86.0,86.0
149,88.0,88.0,88.0,88.0
150,90.0,90.0,90.0,90.0
151,92.0,92.0,92.0,92.0
152,94.0,94.0,94.0,94.0
153,96.0,96.0,96.0,96.0
154,98.0,98.0,98.0,98.0
155,100.0,100.0,100.0,100.0
156,102.0,102.0,102.0,102.0
157,104.0,104.0,104.0,104.0
158,106.0,106.0,106.0,106.0
159,108.0,108.0,108.0,108.0
160,110.0,110.0,110.0,110.0
